token,exchange_timestamp,ltp,last_traded_quantity,avg_trade_price,volume,total_buy_qty,total_sell_qty,open,high,low,close,open_interest,upper_circuit,lower_circuit,52wk_high,52wk_low,buy_price_1,buy_qty_1,buy_orders_1,buy_price_2,buy_qty_2,buy_orders_2,buy_price_3,buy_qty_3,buy_orders_3,buy_price_4,buy_qty_4,buy_orders_4,buy_price_5,buy_qty_5,buy_orders_5,sell_price_1,sell_qty_1,sell_orders_1,sell_price_2,sell_qty_2,sell_orders_2,sell_price_3,sell_qty_3,sell_orders_3,sell_price_4,sell_qty_4,sell_orders_4,sell_price_5,sell_qty_5,sell_orders_5
2475,2026-03-25 09:15:12+05:30,267.15,39,267.33,171525,354444.0,561138.0,267.35,268.05,266.5,268.05,268026750,294.85,241.25,293.0,205.0,267.15,398,1,267.1,746,1,267.05,2070,6,267.0,3313,7,266.95,2834,5,267.35,22,1,267.4,2874,5,267.45,1421,4,267.5,3436,6,267.55,1850,3
2475,2026-03-25 09:15:12+05:30,267.15,1,267.33,171525,354444.0,561138.0,267.35,268.05,266.5,268.05,268026750,294.85,241.25,293.0,205.0,267.15,398,1,267.1,746,1,267.05,2070,6,267.0,3313,7,266.95,2834,5,267.35,22,1,267.4,2874,5,267.45,1421,4,267.5,3436,6,267.55,1850,3
2475,2026-03-25 09:15:13+05:30,267.15,110,267.33,171760,358815.0,551941.0,267.35,268.05,266.5,268.05,268026750,294.85,241.25,293.0,205.0,267.15,261,1,267.1,2725,3,267.05,2497,8,267.0,2795,6,266.95,2834,5,267.35,915,3,267.4,2955,6,267.45,1983,5,267.5,3566,7,267.55,3035,3
2475,2026-03-25 09:15:14+05:30,267.15,150,267.33,174606,357149.0,562044.0,267.35,268.05,266.5,268.05,268026750,294.85,241.25,293.0,205.0,267.15,386,2,267.1,2982,4,267.05,2753,9,267.0,2795,6,266.95,2868,7,267.35,602,4,267.4,2955,6,267.45,3174,6,267.5,3186,6,267.55,3035,3
2475,2026-03-25 09:15:14+05:30,267.35,45,267.33,174606,357149.0,562044.0,267.35,268.05,266.5,268.05,268026750,294.85,241.25,293.0,205.0,267.15,386,2,267.1,2982,4,267.05,2753,9,267.0,2795,6,266.95,2868,7,267.35,602,4,267.4,2955,6,267.45,3174,6,267.5,3186,6,267.55,3035,3
2475,2026-03-25 09:15:15+05:30,267.2,100,267.33,177309,360255.0,546437.0,267.35,268.05,266.5,268.05,268026750,294.85,241.25,293.0,205.0,267.2,1104,3,267.15,586,5,267.1,3677,4,267.05,3453,10,267.0,1839,4,267.35,376,3,267.4,872,4,267.45,1782,4,267.5,2735,5,267.55,2455,5
2475,2026-03-25 09:15:16+05:30,267.3,20,267.33,177355,370512.0,561311.0,267.35,268.05,266.5,268.05,268026750,294.85,241.25,293.0,205.0,267.15,1210,6,267.1,2236,3,267.05,3100,8,267.0,2138,5,266.95,2810,6,267.3,513,2,267.35,1765,9,267.4,2798,5,267.45,2045,6,267.5,2656,6
2475,2026-03-25 09:15:16+05:30,267.35,50,267.33,177355,370512.0,561311.0,267.35,268.05,266.5,268.05,268026750,294.85,241.25,293.0,205.0,267.15,1210,6,267.1,2236,3,267.05,3100,8,267.0,2138,5,266.95,2810,6,267.3,513,2,267.35,1765,9,267.4,2798,5,267.45,2045,6,267.5,2656,6
2475,2026-03-25 09:15:17+05:30,267.15,187,267.33,179857,379796.0,557139.0,267.35,268.05,266.5,268.05,268026750,294.85,241.25,293.0,205.0,267.15,747,2,267.1,2158,2,267.05,3222,9,267.0,2916,7,266.95,3075,8,267.35,967,9,267.4,3023,6,267.45,2289,8,267.5,3825,9,267.55,2089,5
2475,2026-03-25 09:15:18+05:30,267.25,503,267.32,186004,368821.0,590512.0,267.35,268.05,266.5,268.05,268026750,294.85,241.25,293.0,205.0,267.0,283,3,266.95,3441,5,266.9,892,3,266.85,2548,6,266.8,2683,11,267.25,1181,5,267.3,2109,6,267.35,4750,16,267.4,2720,8,267.45,4448,13
2475,2026-03-25 09:15:18+05:30,267.1,100,267.32,186004,368821.0,590512.0,267.35,268.05,266.5,268.05,268026750,294.85,241.25,293.0,205.0,267.0,283,3,266.95,3441,5,266.9,892,3,266.85,2548,6,266.8,2683,11,267.25,1181,5,267.3,2109,6,267.35,4750,16,267.4,2720,8,267.45,4448,13
2475,2026-03-25 09:15:19+05:30,267.2,50,267.32,191266,368332.0,581418.0,267.35,268.05,266.5,268.05,268026750,294.85,241.25,293.0,205.0,266.95,1683,4,266.9,783,6,266.85,3467,7,266.8,3696,12,266.75,3416,10,267.2,69,1,267.25,1655,6,267.3,1129,4,267.35,5127,17,267.4,1154,6
2475,2026-03-25 09:15:20+05:30,267.0,487,267.31,193009,363263.0,597588.0,267.35,268.05,266.5,268.05,268026750,294.85,241.25,293.0,205.0,267.0,747,2,266.95,1164,2,266.9,783,6,266.85,1344,6,266.8,4647,14,267.2,612,1,267.25,3172,6,267.3,1306,6,267.35,5167,16,267.4,1976,10
2475,2026-03-25 09:15:20+05:30,266.95,1,267.31,193009,363263.0,597588.0,267.35,268.05,266.5,268.05,268026750,294.85,241.25,293.0,205.0,267.0,747,2,266.95,1164,2,266.9,783,6,266.85,1344,6,266.8,4647,14,267.2,612,1,267.25,3172,6,267.3,1306,6,267.35,5167,16,267.4,1976,10
2475,2026-03-25 09:15:21+05:30,266.95,7,267.31,193382,358492.0,601602.0,267.35,268.05,266.5,268.05,268026750,294.85,241.25,293.0,205.0,266.95,377,2,266.9,2831,6,266.85,684,2,266.8,3934,11,266.75,4397,13,267.15,1704,6,267.2,2724,10,267.25,1508,7,267.3,3674,9,267.35,4124,12
2475,2026-03-25 09:15:21+05:30,267.15,186,267.31,193382,358492.0,601602.0,267.35,268.05,266.5,268.05,268026750,294.85,241.25,293.0,205.0,266.95,377,2,266.9,2831,6,266.85,684,2,266.8,3934,11,266.75,4397,13,267.15,1704,6,267.2,2724,10,267.25,1508,7,267.3,3674,9,267.35,4124,12
2475,2026-03-25 09:15:22+05:30,266.95,7,267.31,195055,358659.0,601280.0,267.35,268.05,266.5,268.05,268026750,294.85,241.25,293.0,205.0,266.95,746,1,266.9,1966,4,266.85,940,3,266.8,3934,11,266.75,4397,13,267.15,411,3,267.2,2858,11,267.25,2387,8,267.3,4057,9,267.35,5720,13
2475,2026-03-25 09:15:22+05:30,266.9,116,267.31,195055,358659.0,601280.0,267.35,268.05,266.5,268.05,268026750,294.85,241.25,293.0,205.0,266.95,746,1,266.9,1966,4,266.85,940,3,266.8,3934,11,266.75,4397,13,267.15,411,3,267.2,2858,11,267.25,2387,8,267.3,4057,9,267.35,5720,13
2475,2026-03-25 09:15:23+05:30,266.55,1786,267.28,207739,320178.0,606285.0,267.35,268.05,266.5,268.05,268026750,294.85,241.25,293.0,205.0,266.55,2531,2,266.5,1156,6,266.45,2250,7,266.4,2874,10,266.35,2833,8,266.85,2642,7,266.9,1933,8,266.95,2141,8,267.0,3856,10,267.05,3489,11
2475,2026-03-25 09:15:24+05:30,266.7,41,267.27,209823,379235.0,636179.0,267.35,268.05,266.5,268.05,268026750,294.85,241.25,293.0,205.0,266.5,2425,10,266.45,1804,8,266.4,2885,8,266.35,2955,8,266.3,3515,10,266.7,395,1,266.75,1002,2,266.8,2281,3,266.85,2114,7,266.9,3332,9
2475,2026-03-25 09:15:24+05:30,266.7,5,267.27,209823,379235.0,636179.0,267.35,268.05,266.5,268.05,268026750,294.85,241.25,293.0,205.0,266.5,2425,10,266.45,1804,8,266.4,2885,8,266.35,2955,8,266.3,3515,10,266.7,395,1,266.75,1002,2,266.8,2281,3,266.85,2114,7,266.9,3332,9
2475,2026-03-25 09:15:25+05:30,266.7,147,267.26,211178,356928.0,643705.0,267.35,268.05,266.45,268.05,268026750,294.85,241.25,293.0,205.0,266.6,17,1,266.5,569,2,266.45,1581,3,266.4,2481,6,266.35,1694,6,266.7,1585,4,266.75,649,3,266.8,3511,7,266.85,626,4,266.9,3343,9
2475,2026-03-25 09:15:26+05:30,266.6,324,267.26,212520,367982.0,656403.0,267.35,268.05,266.4,268.05,268026750,294.85,241.25,293.0,205.0,266.5,308,2,266.45,852,5,266.4,956,6,266.35,2479,6,266.3,2403,7,266.6,86,1,266.65,1002,2,266.7,1959,12,266.75,3976,7,266.8,3150,7
2475,2026-03-25 09:15:26+05:30,266.7,11,267.26,212520,367982.0,656403.0,267.35,268.05,266.4,268.05,268026750,294.85,241.25,293.0,205.0,266.5,308,2,266.45,852,5,266.4,956,6,266.35,2479,6,266.3,2403,7,266.6,86,1,266.65,1002,2,266.7,1959,12,266.75,3976,7,266.8,3150,7
2475,2026-03-25 09:15:26+05:30,266.7,129,267.25,215122,381790.0,655298.0,267.35,268.05,266.4,268.05,268026750,294.85,241.25,293.0,205.0,266.55,2965,7,266.5,8344,11,266.45,1421,6,266.4,2408,7,266.35,1425,6,266.7,325,4,266.8,3,1,266.85,3119,5,266.9,2397,6,266.95,1670,6
