token,exchange_timestamp,ltp,last_traded_quantity,avg_trade_price,volume,total_buy_qty,total_sell_qty,open,high,low,close,open_interest,upper_circuit,lower_circuit,52wk_high,52wk_low,buy_price_1,buy_qty_1,buy_orders_1,buy_price_2,buy_qty_2,buy_orders_2,buy_price_3,buy_qty_3,buy_orders_3,buy_price_4,buy_qty_4,buy_orders_4,buy_price_5,buy_qty_5,buy_orders_5,sell_price_1,sell_qty_1,sell_orders_1,sell_price_2,sell_qty_2,sell_orders_2,sell_price_3,sell_qty_3,sell_orders_3,sell_price_4,sell_qty_4,sell_orders_4,sell_price_5,sell_qty_5,sell_orders_5
3045,2026-01-07 09:15:07+05:30,1020.7,1,1021.53,114209,105156.0,218262.0,1022.7,1022.7,1019.1,1018.9,144605250,1120.75,917.05,1024.0,680.0,1019.9,831,4,1019.85,628,5,1019.8,179,1,1019.75,179,1,1019.7,9,1,1020.7,629,1,1020.75,750,1,1020.85,803,2,1020.9,774,2,1020.95,681,3
3045,2026-01-07 09:15:08+05:30,1020.15,65,1021.49,118039,108333.0,235948.0,1022.7,1022.7,1019.1,1018.9,144605250,1120.75,917.05,1024.0,680.0,1020.15,713,6,1020.1,504,2,1020.05,179,2,1019.95,188,2,1019.9,431,5,1020.8,65,1,1020.85,856,2,1020.9,759,3,1020.95,2013,8,1021.0,319,3
3045,2026-01-07 09:15:08+05:30,1020.8,1,1021.49,118039,108333.0,235948.0,1022.7,1022.7,1019.1,1018.9,144605250,1120.75,917.05,1024.0,680.0,1020.15,713,6,1020.1,504,2,1020.05,179,2,1019.95,188,2,1019.9,431,5,1020.8,65,1,1020.85,856,2,1020.9,759,3,1020.95,2013,8,1021.0,319,3
3045,2026-01-07 09:15:09+05:30,1020.45,1,1021.49,118499,109685.0,235068.0,1022.7,1022.7,1019.1,1018.9,144605250,1120.75,917.05,1024.0,680.0,1020.15,31,1,1020.1,385,2,1020.05,618,3,1020.0,210,2,1019.95,405,3,1020.45,747,1,1020.65,25,1,1020.7,716,1,1020.8,759,2,1020.85,49,2
3045,2026-01-07 09:15:10+05:30,1020.05,1,1021.44,123062,110765.0,241569.0,1022.7,1022.7,1019.1,1018.9,144605250,1120.75,917.05,1024.0,680.0,1020.15,2,1,1020.05,647,2,1019.95,568,3,1019.9,850,5,1019.85,291,3,1020.35,604,1,1020.45,9,1,1020.5,759,2,1020.6,939,3,1020.65,756,2
3045,2026-01-07 09:15:10+05:30,1020.05,94,1021.44,123062,110765.0,241569.0,1022.7,1022.7,1019.1,1018.9,144605250,1120.75,917.05,1024.0,680.0,1020.15,2,1,1020.05,647,2,1019.95,568,3,1019.9,850,5,1019.85,291,3,1020.35,604,1,1020.45,9,1,1020.5,759,2,1020.6,939,3,1020.65,756,2
3045,2026-01-07 09:15:11+05:30,1020.55,1,1021.43,123971,114998.0,239382.0,1022.7,1022.7,1019.1,1018.9,144605250,1120.75,917.05,1024.0,680.0,1020.15,120,2,1020.1,659,2,1020.05,343,2,1020.0,473,2,1019.95,317,3,1020.5,750,1,1020.55,508,2,1020.6,1978,4,1020.75,450,3,1020.8,10,2
3045,2026-01-07 09:15:12+05:30,1020.2,1,1021.42,125298,112380.0,232687.0,1022.7,1022.7,1019.1,1018.9,144605250,1120.75,917.05,1024.0,680.0,1020.2,856,3,1020.15,534,6,1020.1,563,8,1020.05,352,3,1020.0,403,6,1020.6,52,1,1020.65,750,1,1020.75,1,1,1020.8,725,2,1020.85,500,1
3045,2026-01-07 09:15:12+05:30,1020.65,1,1021.42,125298,112380.0,232687.0,1022.7,1022.7,1019.1,1018.9,144605250,1120.75,917.05,1024.0,680.0,1020.2,856,3,1020.15,534,6,1020.1,563,8,1020.05,352,3,1020.0,403,6,1020.6,52,1,1020.65,750,1,1020.75,1,1,1020.8,725,2,1020.85,500,1
3045,2026-01-07 09:15:13+05:30,1020.05,10,1021.38,129707,103467.0,238797.0,1022.7,1022.7,1019.1,1018.9,144605250,1120.75,917.05,1024.0,680.0,1020.05,492,2,1020.0,101,2,1019.95,304,4,1019.9,545,4,1019.85,481,3,1020.2,595,1,1020.25,750,1,1020.3,1,1,1020.35,750,1,1020.45,667,3
3045,2026-01-07 09:15:14+05:30,1020.6,191,1021.35,133526,111820.0,236535.0,1022.7,1022.7,1019.1,1018.9,144605250,1120.75,917.05,1024.0,680.0,1020.0,841,5,1019.95,493,7,1019.9,724,5,1019.85,179,1,1019.8,81,1,1020.55,609,1,1020.6,165,2,1020.65,200,4,1020.7,951,4,1020.75,1451,4
3045,2026-01-07 09:15:14+05:30,1020.15,10,1021.35,133526,111820.0,236535.0,1022.7,1022.7,1019.1,1018.9,144605250,1120.75,917.05,1024.0,680.0,1020.0,841,5,1019.95,493,7,1019.9,724,5,1019.85,179,1,1019.8,81,1,1020.55,609,1,1020.6,165,2,1020.65,200,4,1020.7,951,4,1020.75,1451,4
3045,2026-01-07 09:15:15+05:30,1020.0,90,1021.3,137880,111271.0,244969.0,1022.7,1022.7,1019.1,1018.9,144605250,1120.75,917.05,1024.0,680.0,1019.9,194,3,1019.7,50,1,1019.65,458,5,1019.6,473,2,1019.55,817,7,1020.0,210,1,1020.05,849,2,1020.15,76,2,1020.2,1466,4,1020.25,76,3
3045,2026-01-07 09:15:15+05:30,1019.9,155,1021.3,137880,111271.0,244969.0,1022.7,1022.7,1019.1,1018.9,144605250,1120.75,917.05,1024.0,680.0,1019.9,194,3,1019.7,50,1,1019.65,458,5,1019.6,473,2,1019.55,817,7,1020.0,210,1,1020.05,849,2,1020.15,76,2,1020.2,1466,4,1020.25,76,3
3045,2026-01-07 09:15:16+05:30,1019.7,342,1021.27,140847,113991.0,249305.0,1022.7,1022.7,1019.1,1018.9,144605250,1120.75,917.05,1024.0,680.0,1019.4,57,2,1019.35,248,3,1019.3,473,2,1019.25,179,1,1019.15,188,2,1019.65,401,1,1019.75,106,1,1019.8,675,2,1019.85,177,2,1019.9,653,4
3045,2026-01-07 09:15:16+05:30,1019.7,342,1021.27,140847,113991.0,249305.0,1022.7,1022.7,1019.1,1018.9,144605250,1120.75,917.05,1024.0,680.0,1019.4,57,2,1019.35,248,3,1019.3,473,2,1019.25,179,1,1019.15,188,2,1019.65,401,1,1019.75,106,1,1019.8,675,2,1019.85,177,2,1019.9,653,4
3045,2026-01-07 09:15:17+05:30,1019.1,10,1021.25,142100,115863.0,255067.0,1022.7,1022.7,1019.1,1018.9,144605250,1120.75,917.05,1024.0,680.0,1019.1,914,2,1019.05,294,1,1019.0,878,26,1018.95,1297,5,1018.9,1339,131,1019.4,115,2,1019.45,1151,2,1019.5,106,1,1019.55,500,2,1019.6,891,3
3045,2026-01-07 09:15:18+05:30,1019.45,54,1021.24,143073,124094.0,255637.0,1022.7,1022.7,1019.1,1018.9,144605250,1120.75,917.05,1024.0,680.0,1019.35,375,1,1019.25,294,1,1019.2,285,2,1019.15,179,1,1019.1,1497,7,1019.45,31,1,1019.55,436,2,1019.65,12,2,1019.7,205,2,1019.75,205,2
3045,2026-01-07 09:15:18+05:30,1019.45,91,1021.24,143073,124094.0,255637.0,1022.7,1022.7,1019.1,1018.9,144605250,1120.75,917.05,1024.0,680.0,1019.35,375,1,1019.25,294,1,1019.2,285,2,1019.15,179,1,1019.1,1497,7,1019.45,31,1,1019.55,436,2,1019.65,12,2,1019.7,205,2,1019.75,205,2
3045,2026-01-07 09:15:19+05:30,1019.4,280,1021.22,144186,123545.0,257100.0,1022.7,1022.7,1019.1,1018.9,144605250,1120.75,917.05,1024.0,680.0,1019.35,191,2,1019.25,294,1,1019.2,123,2,1019.15,179,1,1019.1,1489,7,1019.4,218,1,1019.45,61,2,1019.55,46,1,1019.65,12,2,1019.7,618,2
3045,2026-01-07 09:15:19+05:30,1019.4,280,1021.22,144186,123545.0,257100.0,1022.7,1022.7,1019.1,1018.9,144605250,1120.75,917.05,1024.0,680.0,1019.35,191,2,1019.25,294,1,1019.2,123,2,1019.15,179,1,1019.1,1489,7,1019.4,218,1,1019.45,61,2,1019.55,46,1,1019.65,12,2,1019.7,618,2
3045,2026-01-07 09:15:20+05:30,1019.45,81,1021.21,145409,125154.0,259472.0,1022.7,1022.7,1019.1,1018.9,144605250,1120.75,917.05,1024.0,680.0,1019.35,199,4,1019.25,658,4,1019.2,169,2,1019.15,345,4,1019.1,1265,6,1019.45,35,1,1019.55,278,1,1019.6,609,1,1019.65,313,3,1019.7,9,1
3045,2026-01-07 09:15:20+05:30,1019.45,82,1021.21,145409,125154.0,259472.0,1022.7,1022.7,1019.1,1018.9,144605250,1120.75,917.05,1024.0,680.0,1019.35,199,4,1019.25,658,4,1019.2,169,2,1019.15,345,4,1019.1,1265,6,1019.45,35,1,1019.55,278,1,1019.6,609,1,1019.65,313,3,1019.7,9,1
3045,2026-01-07 09:15:21+05:30,1019.1,15,1021.17,148152,123648.0,260832.0,1022.7,1022.7,1019.1,1018.9,144605250,1120.75,917.05,1024.0,680.0,1019.15,339,2,1019.1,1363,6,1019.05,270,3,1019.0,1153,27,1018.95,1605,4,1019.5,894,2,1019.6,35,1,1019.7,205,2,1019.75,78,3,1019.8,196,1
3045,2026-01-07 09:15:22+05:30,1019.5,15,1021.14,150840,129545.0,271632.0,1022.7,1022.7,1019.1,1018.9,144605250,1120.75,917.05,1024.0,680.0,1019.15,30,2,1019.1,1666,5,1019.05,180,2,1019.0,1002,25,1018.95,1184,4,1019.5,1302,4,1019.55,490,2,1019.6,317,3,1019.65,271,3,1019.7,542,5
3045,2026-01-07 09:15:22+05:30,1019.5,223,1021.14,150840,129545.0,271632.0,1022.7,1022.7,1019.1,1018.9,144605250,1120.75,917.05,1024.0,680.0,1019.15,30,2,1019.1,1666,5,1019.05,180,2,1019.0,1002,25,1018.95,1184,4,1019.5,1302,4,1019.55,490,2,1019.6,317,3,1019.65,271,3,1019.7,542,5
3045,2026-01-07 09:15:23+05:30,1019.15,6,1021.12,152701,147478.0,279197.0,1022.7,1022.7,1019.1,1018.9,144605250,1120.75,917.05,1024.0,680.0,1019.15,24,2,1019.1,1520,5,1019.05,180,2,1019.0,862,25,1018.95,1286,6,1019.45,50,1,1019.5,444,2,1019.55,741,7,1019.6,246,3,1019.65,1039,5
