token,exchange_timestamp,ltp,last_traded_quantity,avg_trade_price,volume,total_buy_qty,total_sell_qty,open,high,low,close,open_interest,upper_circuit,lower_circuit,52wk_high,52wk_low,buy_price_1,buy_qty_1,buy_orders_1,buy_price_2,buy_qty_2,buy_orders_2,buy_price_3,buy_qty_3,buy_orders_3,buy_price_4,buy_qty_4,buy_orders_4,buy_price_5,buy_qty_5,buy_orders_5,sell_price_1,sell_qty_1,sell_orders_1,sell_price_2,sell_qty_2,sell_orders_2,sell_price_3,sell_qty_3,sell_orders_3,sell_price_4,sell_qty_4,sell_orders_4,sell_price_5,sell_qty_5,sell_orders_5
11536,2026-05-18 09:15:11+05:30,2267.1,32,2265.1,21565,63500.0,83452.0,2264.0,2272.0,2261.7,2264.0,76853825,2490.4,2037.6,3623.0,2206.4,2267.0,72,2,2266.7,69,2,2266.6,154,3,2266.4,98,2,2266.3,186,2,2268.2,11,1,2268.3,37,2,2268.4,14,1,2268.5,59,2,2268.6,215,3
11536,2026-05-18 09:15:12+05:30,2267.1,32,2265.1,21565,63500.0,83452.0,2264.0,2272.0,2261.7,2264.0,76853825,2490.4,2037.6,3623.0,2206.4,2267.0,72,2,2266.7,69,2,2266.6,154,3,2266.4,98,2,2266.3,186,2,2268.2,11,1,2268.3,37,2,2268.4,14,1,2268.5,59,2,2268.6,215,3
11536,2026-05-18 09:15:12+05:30,2269.8,2,2265.22,22227,67124.0,83324.0,2264.0,2272.0,2261.7,2264.0,76853825,2490.4,2037.6,3623.0,2206.4,2268.5,12,2,2268.4,14,1,2268.3,88,1,2268.2,234,1,2268.1,316,6,2270.0,210,2,2270.6,186,2,2270.9,97,3,2271.0,88,1,2271.1,64,1
11536,2026-05-18 09:15:13+05:30,2269.8,2,2265.22,22227,67124.0,83324.0,2264.0,2272.0,2261.7,2264.0,76853825,2490.4,2037.6,3623.0,2206.4,2268.5,12,2,2268.4,14,1,2268.3,88,1,2268.2,234,1,2268.1,316,6,2270.0,210,2,2270.6,186,2,2270.9,97,3,2271.0,88,1,2271.1,64,1
11536,2026-05-18 09:15:13+05:30,2270.9,4,2265.45,23524,69800.0,80579.0,2264.0,2272.0,2261.7,2264.0,76853825,2490.4,2037.6,3623.0,2206.4,2269.6,9,2,2269.5,88,1,2269.4,22,1,2269.3,28,1,2269.2,121,2,2271.7,44,1,2271.8,12,1,2271.9,34,2,2272.0,21,2,2272.3,78,1
11536,2026-05-18 09:15:13+05:30,2271.7,44,2265.45,23524,69800.0,80579.0,2264.0,2272.0,2261.7,2264.0,76853825,2490.4,2037.6,3623.0,2206.4,2269.6,9,2,2269.5,88,1,2269.4,22,1,2269.3,28,1,2269.2,121,2,2271.7,44,1,2271.8,12,1,2271.9,34,2,2272.0,21,2,2272.3,78,1
11536,2026-05-18 09:15:13+05:30,2271.7,44,2265.45,23524,69800.0,80579.0,2264.0,2272.0,2261.7,2264.0,76853825,2490.4,2037.6,3623.0,2206.4,2269.6,9,2,2269.5,88,1,2269.4,22,1,2269.3,28,1,2269.2,121,2,2271.7,44,1,2271.8,12,1,2271.9,34,2,2272.0,21,2,2272.3,78,1
11536,2026-05-18 09:15:14+05:30,2271.6,5,2265.48,23643,72209.0,81358.0,2264.0,2272.0,2261.7,2264.0,76853825,2490.4,2037.6,3623.0,2206.4,2269.9,49,3,2269.8,39,2,2269.6,218,5,2269.5,22,1,2269.4,12,3,2271.6,88,3,2271.7,54,1,2271.8,54,1,2271.9,88,1,2272.0,99,2
11536,2026-05-18 09:15:15+05:30,2271.6,5,2265.48,23643,72209.0,81358.0,2264.0,2272.0,2261.7,2264.0,76853825,2490.4,2037.6,3623.0,2206.4,2269.9,49,3,2269.8,39,2,2269.6,218,5,2269.5,22,1,2269.4,12,3,2271.6,88,3,2271.7,54,1,2271.8,54,1,2271.9,88,1,2272.0,99,2
11536,2026-05-18 09:15:15+05:30,2270.6,33,2265.68,24609,73487.0,81807.0,2264.0,2272.0,2261.7,2264.0,76853825,2490.4,2037.6,3623.0,2206.4,2270.2,128,3,2270.1,153,2,2270.0,10,1,2269.9,23,2,2269.8,13,2,2271.5,9,2,2271.6,4,1,2271.7,40,2,2272.0,13,2,2272.1,150,2
11536,2026-05-18 09:15:15+05:30,2271.5,13,2265.68,24609,73487.0,81807.0,2264.0,2272.0,2261.7,2264.0,76853825,2490.4,2037.6,3623.0,2206.4,2270.2,128,3,2270.1,153,2,2270.0,10,1,2269.9,23,2,2269.8,13,2,2271.5,9,2,2271.6,4,1,2271.7,40,2,2272.0,13,2,2272.1,150,2
11536,2026-05-18 09:15:15+05:30,2271.5,13,2265.68,24609,73487.0,81807.0,2264.0,2272.0,2261.7,2264.0,76853825,2490.4,2037.6,3623.0,2206.4,2270.2,128,3,2270.1,153,2,2270.0,10,1,2269.9,23,2,2269.8,13,2,2271.5,9,2,2271.6,4,1,2271.7,40,2,2272.0,13,2,2272.1,150,2
11536,2026-05-18 09:15:16+05:30,2272.1,10,2265.88,25421,81616.0,92981.0,2264.0,2272.4,2261.7,2264.0,76853825,2490.4,2037.6,3623.0,2206.4,2270.8,2,1,2270.7,10,1,2270.6,13,1,2270.5,11,2,2270.3,11,2,2272.1,34,3,2272.2,13,2,2272.3,93,3,2272.4,143,3,2272.5,135,3
