token,exchange_timestamp,ltp,last_traded_quantity,avg_trade_price,volume,total_buy_qty,total_sell_qty,open,high,low,close,open_interest,upper_circuit,lower_circuit,52wk_high,52wk_low,buy_price_1,buy_qty_1,buy_orders_1,buy_price_2,buy_qty_2,buy_orders_2,buy_price_3,buy_qty_3,buy_orders_3,buy_price_4,buy_qty_4,buy_orders_4,buy_price_5,buy_qty_5,buy_orders_5,sell_price_1,sell_qty_1,sell_orders_1,sell_price_2,sell_qty_2,sell_orders_2,sell_price_3,sell_qty_3,sell_orders_3,sell_price_4,sell_qty_4,sell_orders_4,sell_price_5,sell_qty_5,sell_orders_5
13538,2026-02-23 09:15:11+05:30,1456.8,47,1460.09,24291,47356.0,39003.0,1459.5,1470.0,1456.9,1456.9,38374200,1602.5,1311.3,1854.0,1209.4,1457.3,1,1,1457.2,47,1,1457.0,339,2,1456.9,903,29,1456.8,47,1,1458.9,298,4,1459.0,15,1,1459.1,181,2,1459.7,14,1,1459.8,113,1
13538,2026-02-23 09:15:11+05:30,1459.0,230,1459.94,25744,48504.0,40718.0,1459.5,1470.0,1456.8,1456.9,38374200,1602.5,1311.3,1854.0,1209.4,1456.5,198,3,1456.4,71,4,1456.3,14,1,1456.1,380,1,1456.0,408,5,1458.2,70,2,1458.3,32,1,1458.9,408,3,1459.0,600,1,1459.1,371,4
13538,2026-02-23 09:15:12+05:30,1456.5,18,1459.94,25744,48504.0,40718.0,1459.5,1470.0,1456.8,1456.9,38374200,1602.5,1311.3,1854.0,1209.4,1456.5,198,3,1456.4,71,4,1456.3,14,1,1456.1,380,1,1456.0,408,5,1458.2,70,2,1458.3,32,1,1458.9,408,3,1459.0,600,1,1459.1,371,4
13538,2026-02-23 09:15:12+05:30,1458.2,3,1459.92,25959,58348.0,48460.0,1459.5,1470.0,1456.5,1456.9,38374200,1602.5,1311.3,1854.0,1209.4,1458.0,28,1,1457.6,69,1,1457.5,392,2,1457.3,23,1,1457.1,14,1,1458.5,81,1,1458.8,65,1,1458.9,415,2,1459.0,611,2,1459.1,213,3
13538,2026-02-23 09:15:14+05:30,1457.1,172,1459.92,25959,58348.0,48460.0,1459.5,1470.0,1456.5,1456.9,38374200,1602.5,1311.3,1854.0,1209.4,1458.0,28,1,1457.6,69,1,1457.5,392,2,1457.3,23,1,1457.1,14,1,1458.5,81,1,1458.8,65,1,1458.9,415,2,1459.0,611,2,1459.1,213,3
13538,2026-02-23 09:15:14+05:30,1457.1,172,1459.8,27366,58008.0,46829.0,1459.5,1470.0,1456.5,1456.9,38374200,1602.5,1311.3,1854.0,1209.4,1457.1,42,1,1457.0,393,3,1456.6,215,1,1456.5,512,4,1456.4,11,2,1458.3,69,1,1458.4,14,1,1458.5,81,1,1458.6,37,2,1458.7,340,2
13538,2026-02-23 09:15:15+05:30,1457.1,11,1459.8,27382,68988.0,50236.0,1459.5,1470.0,1456.5,1456.9,38374200,1602.5,1311.3,1854.0,1209.4,1457.1,53,2,1457.0,393,3,1456.6,294,1,1456.5,526,5,1456.4,11,2,1458.3,330,4,1458.4,101,2,1458.5,81,1,1458.6,43,3,1458.7,1,1
13538,2026-02-23 09:15:16+05:30,1456.7,47,1459.8,27382,68988.0,50236.0,1459.5,1470.0,1456.5,1456.9,38374200,1602.5,1311.3,1854.0,1209.4,1457.1,53,2,1457.0,393,3,1456.6,294,1,1456.5,526,5,1456.4,11,2,1458.3,330,4,1458.4,101,2,1458.5,81,1,1458.6,43,3,1458.7,1,1
13538,2026-02-23 09:15:16+05:30,1456.7,47,1459.73,28173,69193.0,58686.0,1459.5,1470.0,1456.5,1456.9,38374200,1602.5,1311.3,1854.0,1209.4,1457.1,69,3,1457.0,204,2,1456.9,21,1,1456.8,41,2,1456.6,463,2,1458.2,70,2,1458.3,36,1,1458.4,14,1,1458.5,395,1,1458.6,126,3
13538,2026-02-23 09:15:17+05:30,1457.1,42,1459.72,28284,73406.0,59258.0,1459.5,1470.0,1456.5,1456.9,38374200,1602.5,1311.3,1854.0,1209.4,1457.1,517,3,1457.0,248,3,1456.9,1,1,1456.8,41,2,1456.7,21,1,1458.0,30,1,1458.1,100,3,1458.2,74,2,1458.3,36,1,1458.4,14,1
13538,2026-02-23 09:15:18+05:30,1458.7,181,1459.72,28284,73406.0,59258.0,1459.5,1470.0,1456.5,1456.9,38374200,1602.5,1311.3,1854.0,1209.4,1457.1,517,3,1457.0,248,3,1456.9,1,1,1456.8,41,2,1456.7,21,1,1458.0,30,1,1458.1,100,3,1458.2,74,2,1458.3,36,1,1458.4,14,1
13538,2026-02-23 09:15:18+05:30,1461.3,21,1459.68,29702,80077.0,53455.0,1459.5,1470.0,1456.5,1456.9,38374200,1602.5,1311.3,1854.0,1209.4,1460.6,69,1,1460.5,196,1,1460.2,21,1,1460.1,28,2,1460.0,392,2,1461.3,16,1,1461.4,3,2,1461.6,91,1,1461.7,1,1,1462.0,41,1
13538,2026-02-23 09:15:19+05:30,1460.6,3,1459.68,29705,85785.0,54252.0,1459.5,1470.0,1456.5,1456.9,38374200,1602.5,1311.3,1854.0,1209.4,1460.6,85,2,1460.5,214,3,1460.3,15,2,1460.1,336,3,1460.0,502,5,1461.3,3,1,1461.4,3,2,1461.7,1,1,1462.0,44,1,1462.1,1,1
13538,2026-02-23 09:15:20+05:30,1461.4,1,1459.68,29705,85785.0,54252.0,1459.5,1470.0,1456.5,1456.9,38374200,1602.5,1311.3,1854.0,1209.4,1460.6,85,2,1460.5,214,3,1460.3,15,2,1460.1,336,3,1460.0,502,5,1461.3,3,1,1461.4,3,2,1461.7,1,1,1462.0,44,1,1462.1,1,1
13538,2026-02-23 09:15:20+05:30,1461.4,1,1459.68,29721,87399.0,55686.0,1459.5,1470.0,1456.5,1456.9,38374200,1602.5,1311.3,1854.0,1209.4,1461.6,181,2,1461.5,155,4,1461.3,76,2,1461.1,123,1,1461.0,443,5,1462.1,1,1,1462.3,39,2,1462.5,8,1,1462.8,45,1,1462.9,24,2
13538,2026-02-23 09:15:21+05:30,1462.2,33,1459.7,29940,85469.0,56381.0,1459.5,1470.0,1456.5,1456.9,38374200,1602.5,1311.3,1854.0,1209.4,1462.1,54,1,1461.9,59,1,1461.6,1,1,1461.5,393,3,1461.4,4,1,1462.5,25,2,1462.6,14,1,1462.7,69,1,1462.8,30,1,1462.9,45,3
13538,2026-02-23 09:15:22+05:30,1462.5,64,1459.7,29940,85469.0,56381.0,1459.5,1470.0,1456.5,1456.9,38374200,1602.5,1311.3,1854.0,1209.4,1462.1,54,1,1461.9,59,1,1461.6,1,1,1461.5,393,3,1461.4,4,1,1462.5,25,2,1462.6,14,1,1462.7,69,1,1462.8,30,1,1462.9,45,3
13538,2026-02-23 09:15:22+05:30,1461.4,2,1459.75,30516,88386.0,60998.0,1459.5,1470.0,1456.5,1456.9,38374200,1602.5,1311.3,1854.0,1209.4,1461.0,392,2,1460.9,235,1,1460.5,408,3,1460.4,15,2,1460.3,22,1,1461.4,18,1,1461.8,191,1,1461.9,99,2,1462.0,38,1,1462.1,85,2
13538,2026-02-23 09:15:23+05:30,1460.9,39,1459.78,31295,85171.0,62099.0,1459.5,1470.0,1456.5,1456.9,38374200,1602.5,1311.3,1854.0,1209.4,1459.7,62,2,1459.6,30,1,1459.5,30,2,1459.3,14,1,1459.2,28,2,1461.1,69,1,1461.2,142,2,1461.3,201,2,1461.4,200,3,1461.5,14,1
13538,2026-02-23 09:15:24+05:30,1460.9,39,1459.78,31295,85171.0,62099.0,1459.5,1470.0,1456.5,1456.9,38374200,1602.5,1311.3,1854.0,1209.4,1459.7,62,2,1459.6,30,1,1459.5,30,2,1459.3,14,1,1459.2,28,2,1461.1,69,1,1461.2,142,2,1461.3,201,2,1461.4,200,3,1461.5,14,1
13538,2026-02-23 09:15:24+05:30,1459.7,18,1459.78,31345,86254.0,62439.0,1459.5,1470.0,1456.5,1456.9,38374200,1602.5,1311.3,1854.0,1209.4,1459.7,36,3,1459.5,53,3,1459.3,35,3,1459.2,28,2,1459.1,19,1,1460.9,69,1,1461.0,248,3,1461.1,160,3,1461.2,14,1,1461.3,1,1
13538,2026-02-23 09:15:25+05:30,1459.8,30,1459.78,31531,83736.0,62838.0,1459.5,1470.0,1456.5,1456.9,38374200,1602.5,1311.3,1854.0,1209.4,1459.7,73,3,1459.3,30,2,1459.2,1,1,1459.0,50,3,1458.8,58,2,1460.6,454,5,1460.7,92,3,1460.9,57,3,1461.0,52,1,1461.1,66,3
13538,2026-02-23 09:15:26+05:30,1459.7,16,1459.78,31531,83736.0,62838.0,1459.5,1470.0,1456.5,1456.9,38374200,1602.5,1311.3,1854.0,1209.4,1459.7,73,3,1459.3,30,2,1459.2,1,1,1459.0,50,3,1458.8,58,2,1460.6,454,5,1460.7,92,3,1460.9,57,3,1461.0,52,1,1461.1,66,3
13538,2026-02-23 09:15:26+05:30,1459.7,16,1459.78,31547,85237.0,64279.0,1459.5,1470.0,1456.5,1456.9,38374200,1602.5,1311.3,1854.0,1209.4,1459.7,116,4,1459.4,23,1,1459.3,16,1,1459.2,15,2,1459.0,28,2,1460.4,69,1,1460.5,32,1,1460.6,403,3,1460.7,60,2,1460.8,134,3
13538,2026-02-23 09:15:28+05:30,1460.4,12,1459.78,31547,85237.0,64279.0,1459.5,1470.0,1456.5,1456.9,38374200,1602.5,1311.3,1854.0,1209.4,1459.7,116,4,1459.4,23,1,1459.3,16,1,1459.2,15,2,1459.0,28,2,1460.4,69,1,1460.5,32,1,1460.6,403,3,1460.7,60,2,1460.8,134,3
13538,2026-02-23 09:15:28+05:30,1460.4,12,1459.78,31559,85020.0,64583.0,1459.5,1470.0,1456.5,1456.9,38374200,1602.5,1311.3,1854.0,1209.4,1459.7,116,4,1459.6,6,1,1459.5,26,2,1459.4,32,2,1459.3,16,1,1460.4,82,2,1460.5,332,2,1460.6,100,3,1460.7,60,2,1460.8,17,1
13538,2026-02-23 09:15:29+05:30,1460.4,12,1459.78,31559,86467.0,64712.0,1459.5,1470.0,1456.5,1456.9,38374200,1602.5,1311.3,1854.0,1209.4,1459.7,130,5,1459.6,48,3,1459.5,14,1,1459.4,50,2,1459.3,16,1,1460.4,82,2,1460.5,32,1,1460.6,86,2,1460.7,37,2,1460.8,377,2
13538,2026-02-23 09:15:30+05:30,1460.3,76,1459.78,31559,86467.0,64712.0,1459.5,1470.0,1456.5,1456.9,38374200,1602.5,1311.3,1854.0,1209.4,1459.7,130,5,1459.6,48,3,1459.5,14,1,1459.4,50,2,1459.3,16,1,1460.4,82,2,1460.5,32,1,1460.6,86,2,1460.7,37,2,1460.8,377,2
13538,2026-02-23 09:15:30+05:30,1460.3,76,1459.79,32061,87038.0,66269.0,1459.5,1470.0,1456.5,1456.9,38374200,1602.5,1311.3,1854.0,1209.4,1459.7,89,2,1459.6,5,1,1459.3,22,1,1459.2,15,2,1459.1,17,1,1460.3,618,1,1460.4,19,2,1460.5,400,2,1460.6,86,2,1460.7,138,3
13538,2026-02-23 09:15:31+05:30,1460.0,33,1459.79,32061,87038.0,66269.0,1459.5,1470.0,1456.5,1456.9,38374200,1602.5,1311.3,1854.0,1209.4,1459.7,89,2,1459.6,5,1,1459.3,22,1,1459.2,15,2,1459.1,17,1,1460.3,618,1,1460.4,19,2,1460.5,400,2,1460.6,86,2,1460.7,138,3
