token,exchange_timestamp,ltp,last_traded_quantity,avg_trade_price,volume,total_buy_qty,total_sell_qty,open,high,low,close,open_interest,upper_circuit,lower_circuit,52wk_high,52wk_low,buy_price_1,buy_qty_1,buy_orders_1,buy_price_2,buy_qty_2,buy_orders_2,buy_price_3,buy_qty_3,buy_orders_3,buy_price_4,buy_qty_4,buy_orders_4,buy_price_5,buy_qty_5,buy_orders_5,sell_price_1,sell_qty_1,sell_orders_1,sell_price_2,sell_qty_2,sell_orders_2,sell_price_3,sell_qty_3,sell_orders_3,sell_price_4,sell_qty_4,sell_orders_4,sell_price_5,sell_qty_5,sell_orders_5
3787,2026-09-03 09:15:11+05:30,177.45,1373,177.47,70479,456912.0,701350.0,177.5,177.78,177.21,177.09,306576000,194.79,159.39,273.1,169.0,177.32,123,1,177.31,96,2,177.3,252,3,177.29,69,1,177.27,38,1,177.45,302,1,177.48,38,1,177.49,434,2,177.5,61,1,177.51,216,1
3787,2026-09-03 09:15:12+05:30,177.45,200,177.47,72556,456889.0,701802.0,177.5,177.78,177.21,177.09,306576000,194.79,159.39,273.1,169.0,177.31,142,1,177.3,204,3,177.29,69,1,177.27,122,2,177.26,80,2,177.45,101,1,177.47,318,1,177.48,165,3,177.49,350,1,177.5,61,1
3787,2026-09-03 09:15:13+05:30,177.48,50,177.47,74222,466053.0,713935.0,177.5,177.78,177.21,177.09,306576000,194.79,159.39,273.1,169.0,177.37,25,1,177.33,84,1,177.32,142,1,177.3,100,1,177.29,223,1,177.45,161,1,177.49,386,1,177.5,226,1,177.52,109,1,177.53,387,4
3787,2026-09-03 09:15:13+05:30,177.45,6,177.47,74222,466053.0,713935.0,177.5,177.78,177.21,177.09,306576000,194.79,159.39,273.1,169.0,177.37,25,1,177.33,84,1,177.32,142,1,177.3,100,1,177.29,223,1,177.45,161,1,177.49,386,1,177.5,226,1,177.52,109,1,177.53,387,4
3787,2026-09-03 09:15:14+05:30,177.45,6,177.47,75524,484088.0,716834.0,177.5,177.78,177.21,177.09,306576000,194.79,159.39,273.1,169.0,177.32,145,2,177.31,427,3,177.3,3163,3,177.29,66,1,177.28,242,3,177.44,142,1,177.45,178,3,177.47,38,1,177.48,209,1,177.49,349,1
3787,2026-09-03 09:15:15+05:30,177.44,40,177.47,75821,491572.0,718180.0,177.5,177.78,177.21,177.09,306576000,194.79,159.39,273.1,169.0,177.44,106,2,177.43,3000,1,177.38,66,1,177.37,171,2,177.36,61,1,177.53,96,2,177.55,456,2,177.56,38,1,177.57,137,1,177.58,109,1
3787,2026-09-03 09:15:15+05:30,177.53,33,177.47,75821,491572.0,718180.0,177.5,177.78,177.21,177.09,306576000,194.79,159.39,273.1,169.0,177.44,106,2,177.43,3000,1,177.38,66,1,177.37,171,2,177.36,61,1,177.53,96,2,177.55,456,2,177.56,38,1,177.57,137,1,177.58,109,1
3787,2026-09-03 09:15:16+05:30,177.53,33,177.47,75854,530420.0,712334.0,177.5,177.78,177.21,177.09,306576000,194.79,159.39,273.1,169.0,177.48,12,1,177.47,3000,1,177.46,84,1,177.43,38,1,177.41,327,1,177.53,161,1,177.55,142,1,177.56,38,1,177.6,38,1,177.62,453,1
3787,2026-09-03 09:15:17+05:30,177.25,25,177.46,80802,525608.0,731238.0,177.5,177.78,177.21,177.09,306576000,194.79,159.39,273.1,169.0,177.23,51,1,177.22,627,4,177.21,1116,3,177.2,2376,7,177.18,188,2,177.38,331,3,177.39,658,2,177.4,214,1,177.41,99,2,177.42,39,1
3787,2026-09-03 09:15:17+05:30,177.39,228,177.46,80802,525608.0,731238.0,177.5,177.78,177.21,177.09,306576000,194.79,159.39,273.1,169.0,177.23,51,1,177.22,627,4,177.21,1116,3,177.2,2376,7,177.18,188,2,177.38,331,3,177.39,658,2,177.4,214,1,177.41,99,2,177.42,39,1
