token,exchange_timestamp,ltp,last_traded_quantity,avg_trade_price,volume,total_buy_qty,total_sell_qty,open,high,low,close,open_interest,upper_circuit,lower_circuit,52wk_high,52wk_low,buy_price_1,buy_qty_1,buy_orders_1,buy_price_2,buy_qty_2,buy_orders_2,buy_price_3,buy_qty_3,buy_orders_3,buy_price_4,buy_qty_4,buy_orders_4,buy_price_5,buy_qty_5,buy_orders_5,sell_price_1,sell_qty_1,sell_orders_1,sell_price_2,sell_qty_2,sell_orders_2,sell_price_3,sell_qty_3,sell_orders_3,sell_price_4,sell_qty_4,sell_orders_4,sell_price_5,sell_qty_5,sell_orders_5
236,2025-12-11 09:15:09+05:30,2808.7,8,2800.0,2989,4082.0,14392.0,2800.0,2800.0,2800.0,2804.5,11492250,3084.9,2524.1,2985.7,2124.75,2796.7,10,1,2795.0,14,3,2794.2,5,1,2794.0,1,1,2792.5,15,1,2800.0,266,29,2801.3,86,4,2802.0,4,1,2802.9,30,1,2804.5,81,10
236,2025-12-11 09:15:14+05:30,2805.3,16,2803.57,7478,22664.0,32978.0,2800.0,2811.6,2795.2,2804.5,11492250,3084.9,2524.1,2985.7,2124.75,2805.3,21,1,2804.6,48,2,2804.5,54,1,2804.4,15,1,2804.3,24,2,2806.7,36,1,2807.0,6,1,2807.1,54,1,2807.2,54,1,2807.3,32,2
236,2025-12-11 09:15:20+05:30,2809.6,1,2803.57,7478,22664.0,32978.0,2800.0,2811.6,2795.2,2804.5,11492250,3084.9,2524.1,2985.7,2124.75,2805.3,21,1,2804.6,48,2,2804.5,54,1,2804.4,15,1,2804.3,24,2,2806.7,36,1,2807.0,6,1,2807.1,54,1,2807.2,54,1,2807.3,32,2
236,2025-12-11 09:15:20+05:30,2811.1,100,2804.38,9806,32025.0,36868.0,2800.0,2811.6,2795.2,2804.5,11492250,3084.9,2524.1,2985.7,2124.75,2809.6,47,3,2809.4,11,1,2809.3,11,2,2809.2,179,1,2809.1,54,1,2811.1,41,1,2811.4,25,1,2811.5,68,2,2811.6,135,4,2811.7,12,3
236,2025-12-11 09:15:21+05:30,2811.6,7,2804.45,9945,32445.0,36534.0,2800.0,2811.6,2795.2,2804.5,11492250,3084.9,2524.1,2985.7,2124.75,2809.7,89,4,2809.6,15,1,2809.5,182,2,2809.4,54,1,2809.3,27,2,2811.6,106,1,2811.7,5,1,2812.0,31,2,2812.1,57,1,2812.2,41,1
236,2025-12-11 09:15:22+05:30,2808.7,11,2804.45,9945,32445.0,36534.0,2800.0,2811.6,2795.2,2804.5,11492250,3084.9,2524.1,2985.7,2124.75,2809.7,89,4,2809.6,15,1,2809.5,182,2,2809.4,54,1,2809.3,27,2,2811.6,106,1,2811.7,5,1,2812.0,31,2,2812.1,57,1,2812.2,41,1
236,2025-12-11 09:15:22+05:30,2808.1,1,2804.87,10870,33349.0,38071.0,2800.0,2811.6,2795.2,2804.5,11492250,3084.9,2524.1,2985.7,2124.75,2808.1,24,3,2808.0,38,2,2807.9,181,1,2807.8,54,1,2807.7,31,2,2810.0,45,1,2810.2,25,1,2810.3,12,1,2810.5,1,1,2810.6,42,1
236,2025-12-11 09:15:24+05:30,2810.0,17,2804.9,10951,34383.0,38196.0,2800.0,2811.6,2795.2,2804.5,11492250,3084.9,2524.1,2985.7,2124.75,2808.3,53,4,2808.1,234,3,2808.0,57,1,2807.9,1,1,2807.7,57,3,2810.0,57,2,2810.5,1,1,2810.6,68,3,2810.7,26,1,2810.9,178,1
236,2025-12-11 09:15:24+05:30,2807.5,14,2804.9,10951,34383.0,38196.0,2800.0,2811.6,2795.2,2804.5,11492250,3084.9,2524.1,2985.7,2124.75,2808.3,53,4,2808.1,234,3,2808.0,57,1,2807.9,1,1,2807.7,57,3,2810.0,57,2,2810.5,1,1,2810.6,68,3,2810.7,26,1,2810.9,178,1
236,2025-12-11 09:15:25+05:30,2808.2,32,2804.98,11250,33483.0,40312.0,2800.0,2811.6,2795.2,2804.5,11492250,3084.9,2524.1,2985.7,2124.75,2806.6,35,4,2806.5,25,1,2806.4,36,1,2806.3,159,2,2806.2,79,2,2808.2,201,1,2808.4,250,1,2808.6,25,1,2808.9,78,2,2809.1,6,1
236,2025-12-11 09:15:26+05:30,2806.6,69,2805.01,11543,32820.0,40870.0,2800.0,2811.6,2795.2,2804.5,11492250,3084.9,2524.1,2985.7,2124.75,2805.6,302,5,2805.5,65,2,2805.3,593,2,2805.2,27,1,2805.0,32,2,2807.6,21,3,2807.7,20,2,2807.8,8,1,2807.9,25,1,2808.0,217,3
236,2025-12-11 09:15:26+05:30,2808.0,15,2805.01,11543,32820.0,40870.0,2800.0,2811.6,2795.2,2804.5,11492250,3084.9,2524.1,2985.7,2124.75,2805.6,302,5,2805.5,65,2,2805.3,593,2,2805.2,27,1,2805.0,32,2,2807.6,21,3,2807.7,20,2,2807.8,8,1,2807.9,25,1,2808.0,217,3
236,2025-12-11 09:15:27+05:30,2808.0,1,2805.04,11693,33987.0,41137.0,2800.0,2811.6,2795.2,2804.5,11492250,3084.9,2524.1,2985.7,2124.75,2806.1,188,5,2806.0,54,1,2805.9,6,1,2805.8,132,3,2805.7,20,2,2808.1,20,3,2808.3,212,2,2808.4,250,1,2808.5,52,1,2808.6,1,1
236,2025-12-11 09:15:28+05:30,2806.3,9,2805.04,11702,35365.0,41162.0,2800.0,2811.6,2795.2,2804.5,11492250,3084.9,2524.1,2985.7,2124.75,2806.3,60,3,2806.2,2,1,2806.1,22,1,2806.0,6,1,2805.9,191,2,2808.1,3,2,2808.3,17,2,2808.4,308,3,2808.5,18,1,2808.6,11,2
236,2025-12-11 09:15:28+05:30,2806.3,9,2805.04,11702,35365.0,41162.0,2800.0,2811.6,2795.2,2804.5,11492250,3084.9,2524.1,2985.7,2124.75,2806.3,60,3,2806.2,2,1,2806.1,22,1,2806.0,6,1,2805.9,191,2,2808.1,3,2,2808.3,17,2,2808.4,308,3,2808.5,18,1,2808.6,11,2
236,2025-12-11 09:15:29+05:30,2806.4,3,2805.05,11753,35631.0,41560.0,2800.0,2811.6,2795.2,2804.5,11492250,3084.9,2524.1,2985.7,2124.75,2806.3,42,3,2806.2,3,1,2806.1,3,1,2805.9,30,1,2805.8,42,1,2807.8,66,2,2808.0,1,1,2808.1,8,1,2808.2,6,1,2808.3,70,4
236,2025-12-11 09:15:30+05:30,2807.5,113,2805.11,12041,34626.0,41950.0,2800.0,2811.6,2795.2,2804.5,11492250,3084.9,2524.1,2985.7,2124.75,2806.3,38,4,2806.2,3,1,2806.1,3,1,2805.6,33,2,2805.4,210,1,2807.6,65,2,2807.7,38,1,2807.8,41,1,2807.9,10,1,2808.0,1,1
236,2025-12-11 09:15:30+05:30,2807.5,113,2805.11,12041,34626.0,41950.0,2800.0,2811.6,2795.2,2804.5,11492250,3084.9,2524.1,2985.7,2124.75,2806.3,38,4,2806.2,3,1,2806.1,3,1,2805.6,33,2,2805.4,210,1,2807.6,65,2,2807.7,38,1,2807.8,41,1,2807.9,10,1,2808.0,1,1
236,2025-12-11 09:15:31+05:30,2807.7,7,2805.16,12456,36298.0,42375.0,2800.0,2811.6,2795.2,2804.5,11492250,3084.9,2524.1,2985.7,2124.75,2806.4,71,1,2806.3,31,1,2805.9,30,1,2805.7,10,1,2805.6,28,2,2807.8,310,2,2807.9,54,2,2808.0,50,2,2808.1,64,4,2808.2,38,1
236,2025-12-11 09:15:32+05:30,2807.3,8,2805.16,12456,36298.0,42375.0,2800.0,2811.6,2795.2,2804.5,11492250,3084.9,2524.1,2985.7,2124.75,2806.4,71,1,2806.3,31,1,2805.9,30,1,2805.7,10,1,2805.6,28,2,2807.8,310,2,2807.9,54,2,2808.0,50,2,2808.1,64,4,2808.2,38,1
236,2025-12-11 09:15:32+05:30,2807.3,8,2805.16,12471,36801.0,42633.0,2800.0,2811.6,2795.2,2804.5,11492250,3084.9,2524.1,2985.7,2124.75,2806.3,48,2,2805.7,46,1,2805.6,169,1,2805.5,71,1,2805.3,23,1,2807.3,11,2,2807.4,41,1,2807.5,1,1,2807.7,50,2,2807.8,65,3
236,2025-12-11 09:15:33+05:30,2806.3,7,2805.16,12479,37191.0,41892.0,2800.0,2811.6,2795.2,2804.5,11492250,3084.9,2524.1,2985.7,2124.75,2806.3,40,2,2805.8,209,2,2805.7,59,1,2805.6,10,2,2805.5,26,1,2807.3,19,1,2807.4,9,1,2807.7,2,2,2807.8,20,1,2807.9,44,1
236,2025-12-11 09:15:34+05:30,2806.3,35,2805.16,12479,37191.0,41892.0,2800.0,2811.6,2795.2,2804.5,11492250,3084.9,2524.1,2985.7,2124.75,2806.3,40,2,2805.8,209,2,2805.7,59,1,2805.6,10,2,2805.5,26,1,2807.3,19,1,2807.4,9,1,2807.7,2,2,2807.8,20,1,2807.9,44,1
236,2025-12-11 09:15:34+05:30,2806.3,35,2805.21,12784,37158.0,42060.0,2800.0,2811.6,2795.2,2804.5,11492250,3084.9,2524.1,2985.7,2124.75,2806.4,37,4,2806.3,32,1,2806.1,57,1,2806.0,6,1,2805.9,26,1,2807.7,12,2,2807.8,20,1,2808.1,8,2,2808.2,47,1,2808.3,46,2
236,2025-12-11 09:15:35+05:30,2806.5,6,2805.21,12827,37581.0,42636.0,2800.0,2811.6,2795.2,2804.5,11492250,3084.9,2524.1,2985.7,2124.75,2806.5,286,5,2806.4,27,2,2806.3,32,1,2806.1,244,3,2806.0,101,4,2807.7,1,1,2807.8,20,1,2808.3,30,1,2808.4,313,4,2808.5,10,1
236,2025-12-11 09:15:36+05:30,2806.5,6,2805.21,12827,37581.0,42636.0,2800.0,2811.6,2795.2,2804.5,11492250,3084.9,2524.1,2985.7,2124.75,2806.5,286,5,2806.4,27,2,2806.3,32,1,2806.1,244,3,2806.0,101,4,2807.7,1,1,2807.8,20,1,2808.3,30,1,2808.4,313,4,2808.5,10,1
236,2025-12-11 09:15:37+05:30,2806.3,32,2805.24,13101,37416.0,42861.0,2800.0,2811.6,2795.2,2804.5,11492250,3084.9,2524.1,2985.7,2124.75,2806.5,4,1,2806.1,141,1,2806.0,51,2,2805.8,28,1,2805.7,27,1,2807.7,1,1,2807.8,27,2,2807.9,10,1,2808.1,1,1,2808.2,58,1
236,2025-12-11 09:15:38+05:30,2807.2,4,2805.27,13360,36257.0,42901.0,2800.0,2811.6,2795.2,2804.5,11492250,3084.9,2524.1,2985.7,2124.75,2806.5,35,1,2806.4,27,1,2806.3,58,1,2806.1,32,1,2805.9,6,1,2807.5,5,1,2808.0,16,2,2808.1,299,2,2808.3,12,2,2808.4,361,6
236,2025-12-11 09:15:38+05:30,2806.5,2,2805.27,13360,36257.0,42901.0,2800.0,2811.6,2795.2,2804.5,11492250,3084.9,2524.1,2985.7,2124.75,2806.5,35,1,2806.4,27,1,2806.3,58,1,2806.1,32,1,2805.9,6,1,2807.5,5,1,2808.0,16,2,2808.1,299,2,2808.3,12,2,2808.4,361,6
236,2025-12-11 09:15:39+05:30,2807.4,2,2805.27,13370,37948.0,42501.0,2800.0,2811.6,2795.2,2804.5,11492250,3084.9,2524.1,2985.7,2124.75,2806.5,72,5,2806.4,57,1,2806.3,54,1,2806.2,193,2,2806.0,93,4,2807.6,1,1,2807.8,1,1,2808.0,1,1,2808.1,49,1,2808.4,257,2
236,2025-12-11 09:15:40+05:30,2806.5,3,2805.27,13442,37839.0,42885.0,2800.0,2811.6,2795.2,2804.5,11492250,3084.9,2524.1,2985.7,2124.75,2806.5,3,1,2805.9,182,3,2805.8,15,1,2805.6,6,1,2805.5,68,2,2807.2,1,1,2807.4,1,1,2807.6,1,1,2807.8,63,3,2807.9,26,1
236,2025-12-11 09:15:40+05:30,2806.5,3,2805.27,13442,37839.0,42885.0,2800.0,2811.6,2795.2,2804.5,11492250,3084.9,2524.1,2985.7,2124.75,2806.5,3,1,2805.9,182,3,2805.8,15,1,2805.6,6,1,2805.5,68,2,2807.2,1,1,2807.4,1,1,2807.6,1,1,2807.8,63,3,2807.9,26,1
236,2025-12-11 09:15:41+05:30,2806.5,6,2805.28,13459,37736.0,43968.0,2800.0,2811.6,2795.2,2804.5,11492250,3084.9,2524.1,2985.7,2124.75,2806.5,6,1,2805.5,2,1,2805.4,154,2,2805.3,15,1,2805.0,27,2,2806.6,250,1,2807.0,58,1,2807.1,41,1,2807.2,12,2,2807.4,1,1
