token,exchange_timestamp,ltp,last_traded_quantity,avg_trade_price,volume,total_buy_qty,total_sell_qty,open,high,low,close,open_interest,upper_circuit,lower_circuit,52wk_high,52wk_low,buy_price_1,buy_qty_1,buy_orders_1,buy_price_2,buy_qty_2,buy_orders_2,buy_price_3,buy_qty_3,buy_orders_3,buy_price_4,buy_qty_4,buy_orders_4,buy_price_5,buy_qty_5,buy_orders_5,sell_price_1,sell_qty_1,sell_orders_1,sell_price_2,sell_qty_2,sell_orders_2,sell_price_3,sell_qty_3,sell_orders_3,sell_price_4,sell_qty_4,sell_orders_4,sell_price_5,sell_qty_5,sell_orders_5
7229,2025-12-17 09:15:01+05:30,1651.5,5,1651.2,3723,11101.0,44584.0,1651.0,1655.0,1651.0,1651.7,17353700,1816.8,1486.6,2012.2,1302.75,1652.3,46,2,1652.2,5,1,1651.5,3,1,1651.3,323,1,1651.2,38,1,1656.4,45,1,1656.5,18,1,1656.7,159,1,1656.8,3,1,1657.0,70,1
7229,2025-12-17 09:15:09+05:30,1649.5,3,1651.2,3723,11101.0,44584.0,1651.0,1655.0,1651.0,1651.7,17353700,1816.8,1486.6,2012.2,1302.75,1652.3,46,2,1652.2,5,1,1651.5,3,1,1651.3,323,1,1651.2,38,1,1656.4,45,1,1656.5,18,1,1656.7,159,1,1656.8,3,1,1657.0,70,1
7229,2025-12-17 09:15:11+05:30,1648.2,6,1650.51,6722,34612.0,70127.0,1651.0,1655.0,1646.5,1651.7,17353700,1816.8,1486.6,2012.2,1302.75,1646.5,79,2,1646.4,31,3,1646.3,413,2,1646.2,120,3,1646.1,34,3,1648.3,14,1,1648.4,36,3,1648.6,58,1,1648.7,32,2,1649.2,19,1
7229,2025-12-17 09:15:14+05:30,1649.3,10,1650.51,6722,34612.0,70127.0,1651.0,1655.0,1646.5,1651.7,17353700,1816.8,1486.6,2012.2,1302.75,1646.5,79,2,1646.4,31,3,1646.3,413,2,1646.2,120,3,1646.1,34,3,1648.3,14,1,1648.4,36,3,1648.6,58,1,1648.7,32,2,1649.2,19,1
7229,2025-12-17 09:15:19+05:30,1649.5,1,1650.19,7566,40704.0,73532.0,1651.0,1655.0,1646.3,1651.7,17353700,1816.8,1486.6,2012.2,1302.75,1648.0,1,1,1647.9,42,4,1647.8,105,2,1647.7,138,5,1647.6,14,2,1649.5,164,3,1649.6,93,1,1649.7,18,1,1649.8,23,2,1649.9,32,2
7229,2025-12-17 09:15:19+05:30,1648.3,6,1650.19,7566,40704.0,73532.0,1651.0,1655.0,1646.3,1651.7,17353700,1816.8,1486.6,2012.2,1302.75,1648.0,1,1,1647.9,42,4,1647.8,105,2,1647.7,138,5,1647.6,14,2,1649.5,164,3,1649.6,93,1,1649.7,18,1,1649.8,23,2,1649.9,32,2
7229,2025-12-17 09:15:24+05:30,1648.4,7,1650.19,7566,40704.0,73532.0,1651.0,1655.0,1646.3,1651.7,17353700,1816.8,1486.6,2012.2,1302.75,1648.0,1,1,1647.9,42,4,1647.8,105,2,1647.7,138,5,1647.6,14,2,1649.5,164,3,1649.6,93,1,1649.7,18,1,1649.8,23,2,1649.9,32,2
7229,2025-12-17 09:15:25+05:30,1648.4,7,1650.05,8059,49158.0,80905.0,1651.0,1655.0,1646.3,1651.7,17353700,1816.8,1486.6,2012.2,1302.75,1647.2,91,5,1647.1,39,5,1647.0,168,4,1646.9,20,2,1646.8,44,3,1648.5,62,1,1648.6,101,3,1648.7,56,1,1648.8,326,1,1648.9,72,2
7229,2025-12-17 09:15:29+05:30,1649.6,91,1650.05,8059,49158.0,80905.0,1651.0,1655.0,1646.3,1651.7,17353700,1816.8,1486.6,2012.2,1302.75,1647.2,91,5,1647.1,39,5,1647.0,168,4,1646.9,20,2,1646.8,44,3,1648.5,62,1,1648.6,101,3,1648.7,56,1,1648.8,326,1,1648.9,72,2
7229,2025-12-17 09:15:31+05:30,1649.8,3,1649.91,9022,52301.0,78037.0,1651.0,1655.0,1646.3,1651.7,17353700,1816.8,1486.6,2012.2,1302.75,1649.8,38,2,1649.5,192,2,1649.3,37,2,1649.2,268,2,1649.1,14,1,1650.6,86,4,1650.7,7,1,1650.8,480,5,1650.9,5,1,1651.0,139,7
7229,2025-12-17 09:15:34+05:30,1650.7,5,1649.91,9022,52301.0,78037.0,1651.0,1655.0,1646.3,1651.7,17353700,1816.8,1486.6,2012.2,1302.75,1649.8,38,2,1649.5,192,2,1649.3,37,2,1649.2,268,2,1649.1,14,1,1650.6,86,4,1650.7,7,1,1650.8,480,5,1650.9,5,1,1651.0,139,7
7229,2025-12-17 09:15:38+05:30,1649.4,20,1649.92,9734,54515.0,79550.0,1651.0,1655.0,1646.3,1651.7,17353700,1816.8,1486.6,2012.2,1302.75,1649.4,20,1,1649.0,32,3,1648.9,108,2,1648.8,112,3,1648.7,331,1,1650.1,31,3,1650.2,18,1,1650.3,354,2,1650.4,144,2,1650.5,105,2
7229,2025-12-17 09:15:39+05:30,1649.4,30,1649.92,9734,54515.0,79550.0,1651.0,1655.0,1646.3,1651.7,17353700,1816.8,1486.6,2012.2,1302.75,1649.4,20,1,1649.0,32,3,1648.9,108,2,1648.8,112,3,1648.7,331,1,1650.1,31,3,1650.2,18,1,1650.3,354,2,1650.4,144,2,1650.5,105,2
7229,2025-12-17 09:15:44+05:30,1648.1,42,1649.89,10096,58602.0,84693.0,1651.0,1655.0,1646.3,1651.7,17353700,1816.8,1486.6,2012.2,1302.75,1648.0,109,4,1647.8,82,5,1647.7,72,2,1647.6,369,4,1647.5,225,3,1649.0,28,1,1649.1,358,3,1649.2,154,2,1649.3,101,2,1649.4,180,3
7229,2025-12-17 09:15:44+05:30,1648.1,42,1649.89,10096,58602.0,84693.0,1651.0,1655.0,1646.3,1651.7,17353700,1816.8,1486.6,2012.2,1302.75,1648.0,109,4,1647.8,82,5,1647.7,72,2,1647.6,369,4,1647.5,225,3,1649.0,28,1,1649.1,358,3,1649.2,154,2,1649.3,101,2,1649.4,180,3
7229,2025-12-17 09:15:49+05:30,1649.0,11,1649.89,10096,58602.0,84693.0,1651.0,1655.0,1646.3,1651.7,17353700,1816.8,1486.6,2012.2,1302.75,1648.0,109,4,1647.8,82,5,1647.7,72,2,1647.6,369,4,1647.5,225,3,1649.0,28,1,1649.1,358,3,1649.2,154,2,1649.3,101,2,1649.4,180,3
7229,2025-12-17 09:15:50+05:30,1649.0,11,1649.83,10642,62090.0,83302.0,1651.0,1655.0,1646.3,1651.7,17353700,1816.8,1486.6,2012.2,1302.75,1648.2,56,6,1648.1,72,2,1648.0,61,4,1647.9,92,1,1647.8,606,6,1649.0,66,1,1649.1,62,1,1649.2,26,1,1649.8,325,1,1649.9,372,3
7229,2025-12-17 09:15:54+05:30,1649.2,26,1649.83,10642,62090.0,83302.0,1651.0,1655.0,1646.3,1651.7,17353700,1816.8,1486.6,2012.2,1302.75,1648.2,56,6,1648.1,72,2,1648.0,61,4,1647.9,92,1,1647.8,606,6,1649.0,66,1,1649.1,62,1,1649.2,26,1,1649.8,325,1,1649.9,372,3
7229,2025-12-17 09:15:56+05:30,1649.0,61,1649.8,11056,64336.0,83043.0,1651.0,1655.0,1646.3,1651.7,17353700,1816.8,1486.6,2012.2,1302.75,1649.1,10,2,1649.0,1,1,1648.9,1,1,1648.8,13,1,1648.7,313,2,1649.9,95,2,1650.0,10,1,1650.1,191,3,1650.2,336,1,1650.3,119,3
7229,2025-12-17 09:15:57+05:30,1649.6,29,1649.8,11056,64336.0,83043.0,1651.0,1655.0,1646.3,1651.7,17353700,1816.8,1486.6,2012.2,1302.75,1649.1,10,2,1649.0,1,1,1648.9,1,1,1648.8,13,1,1648.7,313,2,1649.9,95,2,1650.0,10,1,1650.1,191,3,1650.2,336,1,1650.3,119,3
7229,2025-12-17 09:15:58+05:30,1649.6,29,1649.79,11139,66406.0,84525.0,1651.0,1655.0,1646.3,1651.7,17353700,1816.8,1486.6,2012.2,1302.75,1649.4,40,5,1649.3,11,1,1649.2,64,5,1649.1,440,3,1649.0,57,5,1650.1,112,1,1650.3,127,2,1650.4,55,1,1650.5,61,1,1650.6,374,2
7229,2025-12-17 09:15:58+05:30,1649.6,10,1649.79,11139,66406.0,84525.0,1651.0,1655.0,1646.3,1651.7,17353700,1816.8,1486.6,2012.2,1302.75,1649.4,40,5,1649.3,11,1,1649.2,64,5,1649.1,440,3,1649.0,57,5,1650.1,112,1,1650.3,127,2,1650.4,55,1,1650.5,61,1,1650.6,374,2
7229,2025-12-17 09:15:59+05:30,1649.6,10,1649.79,11151,66206.0,84598.0,1651.0,1655.0,1646.3,1651.7,17353700,1816.8,1486.6,2012.2,1302.75,1649.6,25,4,1649.4,60,5,1649.3,11,1,1649.2,53,4,1649.1,373,3,1650.1,130,2,1650.3,127,2,1650.4,55,1,1650.5,61,1,1650.6,79,2
7229,2025-12-17 09:16:00+05:30,1649.6,10,1649.79,11151,66618.0,84461.0,1651.0,1655.0,1646.3,1651.7,17353700,1816.8,1486.6,2012.2,1302.75,1649.6,18,3,1649.5,13,1,1649.4,132,6,1649.3,11,1,1649.2,54,4,1650.1,256,3,1650.3,149,3,1650.4,58,2,1650.5,142,3,1650.6,18,1
7229,2025-12-17 09:16:01+05:30,1649.6,10,1649.79,11151,68202.0,84604.0,1651.0,1655.0,1646.3,1651.7,17353700,1816.8,1486.6,2012.2,1302.75,1649.6,84,5,1649.5,11,1,1649.4,89,6,1649.3,307,2,1649.2,94,7,1650.1,256,3,1650.3,149,3,1650.4,58,2,1650.5,81,2,1650.6,18,1
7229,2025-12-17 09:16:02+05:30,1650.1,126,1649.73,12618,69030.0,84222.0,1651.0,1655.0,1646.3,1651.7,17353700,1816.8,1486.6,2012.2,1302.75,1649.4,184,7,1649.3,11,1,1649.2,141,5,1649.1,200,2,1649.0,155,4,1650.1,112,1,1650.3,90,2,1650.7,388,2,1650.8,68,1,1650.9,108,3
