token,exchange_timestamp,ltp,last_traded_quantity,avg_trade_price,volume,total_buy_qty,total_sell_qty,open,high,low,close,open_interest,upper_circuit,lower_circuit,52wk_high,52wk_low,buy_price_1,buy_qty_1,buy_orders_1,buy_price_2,buy_qty_2,buy_orders_2,buy_price_3,buy_qty_3,buy_orders_3,buy_price_4,buy_qty_4,buy_orders_4,buy_price_5,buy_qty_5,buy_orders_5,sell_price_1,sell_qty_1,sell_orders_1,sell_price_2,sell_qty_2,sell_orders_2,sell_price_3,sell_qty_3,sell_orders_3,sell_price_4,sell_qty_4,sell_orders_4,sell_price_5,sell_qty_5,sell_orders_5
1333,2025-11-17 09:15:07+05:30,988.75,9,990.93,287918,173993.0,415573.0,991.25,993.0,987.6,989.6,280256900,1088.55,890.65,1020.5,812.15,987.85,80,2,987.8,201,4,987.75,275,2,987.7,98,1,987.65,319,4,988.75,590,2,988.8,349,4,988.85,116,2,989.0,180,1,989.05,144,2
1333,2025-11-17 09:15:08+05:30,988.75,3,990.91,289981,179029.0,427810.0,991.25,993.0,987.6,989.6,280256900,1088.55,890.65,1020.5,812.15,987.85,3,1,987.8,181,4,987.75,73,1,987.7,285,3,987.65,247,3,988.75,1348,4,988.8,1526,5,988.85,41,1,988.95,200,2,989.0,97,3
1333,2025-11-17 09:15:08+05:30,989.2,163,990.91,289981,179029.0,427810.0,991.25,993.0,987.6,989.6,280256900,1088.55,890.65,1020.5,812.15,987.85,3,1,987.8,181,4,987.75,73,1,987.7,285,3,987.65,247,3,988.75,1348,4,988.8,1526,5,988.85,41,1,988.95,200,2,989.0,97,3
1333,2025-11-17 09:15:09+05:30,988.6,40,990.87,295906,188444.0,425750.0,991.25,993.0,987.6,989.6,280256900,1088.55,890.65,1020.5,812.15,988.1,151,1,988.05,294,2,988.0,180,1,987.95,202,1,987.9,418,3,988.6,23,1,988.65,22,1,988.7,200,1,988.9,62,1,989.05,202,1
1333,2025-11-17 09:15:10+05:30,988.35,24,990.86,298227,190233.0,432053.0,991.25,993.0,987.6,989.6,280256900,1088.55,890.65,1020.5,812.15,988.15,151,1,988.1,393,4,988.05,596,1,988.0,382,1,987.95,202,1,989.0,876,3,989.05,202,1,989.1,980,2,989.15,1236,3,989.25,228,2
1333,2025-11-17 09:15:10+05:30,989.0,76,990.86,298227,190233.0,432053.0,991.25,993.0,987.6,989.6,280256900,1088.55,890.65,1020.5,812.15,988.15,151,1,988.1,393,4,988.05,596,1,988.0,382,1,987.95,202,1,989.0,876,3,989.05,202,1,989.1,980,2,989.15,1236,3,989.25,228,2
1333,2025-11-17 09:15:11+05:30,989.0,76,990.85,299656,197347.0,438349.0,991.25,993.0,987.6,989.6,280256900,1088.55,890.65,1020.5,812.15,988.15,939,6,988.1,622,4,988.05,975,5,988.0,402,2,987.95,635,3,989.0,1047,3,989.05,112,1,989.1,521,2,989.15,55,1,989.2,430,1
1333,2025-11-17 09:15:11+05:30,988.9,380,990.85,299656,197347.0,438349.0,991.25,993.0,987.6,989.6,280256900,1088.55,890.65,1020.5,812.15,988.15,939,6,988.1,622,4,988.05,975,5,988.0,402,2,987.95,635,3,989.0,1047,3,989.05,112,1,989.1,521,2,989.15,55,1,989.2,430,1
1333,2025-11-17 09:15:12+05:30,988.9,1,990.84,300731,197402.0,442606.0,991.25,993.0,987.6,989.6,280256900,1088.55,890.65,1020.5,812.15,988.15,1625,5,988.1,397,2,988.05,527,2,988.0,200,1,987.95,613,3,988.75,610,2,988.8,185,3,988.85,652,2,988.9,719,2,988.95,813,3
1333,2025-11-17 09:15:13+05:30,988.4,30,990.81,304222,198369.0,449663.0,991.25,993.0,987.6,989.6,280256900,1088.55,890.65,1020.5,812.15,988.15,9,1,987.9,1,1,987.85,717,3,987.8,291,3,987.75,431,2,988.4,1107,5,988.45,430,1,988.5,400,1,988.55,1600,4,988.7,504,1
1333,2025-11-17 09:15:13+05:30,988.25,61,990.81,304222,198369.0,449663.0,991.25,993.0,987.6,989.6,280256900,1088.55,890.65,1020.5,812.15,988.15,9,1,987.9,1,1,987.85,717,3,987.8,291,3,987.75,431,2,988.4,1107,5,988.45,430,1,988.5,400,1,988.55,1600,4,988.7,504,1
1333,2025-11-17 09:15:14+05:30,988.25,4,990.79,306503,200315.0,449321.0,991.25,993.0,987.6,989.6,280256900,1088.55,890.65,1020.5,812.15,987.9,412,2,987.85,1,1,987.8,111,2,987.7,610,2,987.65,646,3,988.25,464,3,988.3,135,2,988.35,60,1,988.4,466,2,988.45,561,1
1333,2025-11-17 09:15:14+05:30,987.8,67,990.79,306503,200315.0,449321.0,991.25,993.0,987.6,989.6,280256900,1088.55,890.65,1020.5,812.15,987.9,412,2,987.85,1,1,987.8,111,2,987.7,610,2,987.65,646,3,988.25,464,3,988.3,135,2,988.35,60,1,988.4,466,2,988.45,561,1
1333,2025-11-17 09:15:15+05:30,988.2,3,990.78,307964,202339.0,454146.0,991.25,993.0,987.6,989.6,280256900,1088.55,890.65,1020.5,812.15,987.8,44,2,987.65,504,4,987.6,569,5,987.55,548,1,987.5,849,6,988.15,605,2,988.2,358,3,988.25,212,3,988.3,725,2,988.4,572,3
1333,2025-11-17 09:15:15+05:30,987.95,150,990.78,307964,202339.0,454146.0,991.25,993.0,987.6,989.6,280256900,1088.55,890.65,1020.5,812.15,987.8,44,2,987.65,504,4,987.6,569,5,987.55,548,1,987.5,849,6,988.15,605,2,988.2,358,3,988.25,212,3,988.3,725,2,988.4,572,3
1333,2025-11-17 09:15:16+05:30,987.95,150,990.77,309364,208340.0,456569.0,991.25,993.0,987.6,989.6,280256900,1088.55,890.65,1020.5,812.15,988.0,552,2,987.9,161,1,987.8,284,4,987.75,603,3,987.7,430,4,988.15,15,1,988.2,338,2,988.25,124,2,988.3,82,1,988.4,142,2
1333,2025-11-17 09:15:17+05:30,988.0,303,990.74,312397,209079.0,461397.0,991.25,993.0,987.6,989.6,280256900,1088.55,890.65,1020.5,812.15,988.0,197,1,987.9,161,1,987.85,81,1,987.8,47,3,987.7,533,3,988.35,99,2,988.45,319,3,988.5,300,4,988.55,272,3,988.6,683,3
1333,2025-11-17 09:15:17+05:30,988.15,2,990.74,312397,209079.0,461397.0,991.25,993.0,987.6,989.6,280256900,1088.55,890.65,1020.5,812.15,988.0,197,1,987.9,161,1,987.85,81,1,987.8,47,3,987.7,533,3,988.35,99,2,988.45,319,3,988.5,300,4,988.55,272,3,988.6,683,3
1333,2025-11-17 09:15:18+05:30,988.0,658,990.73,313264,211612.0,467575.0,991.25,993.0,987.6,989.6,280256900,1088.55,890.65,1020.5,812.15,987.95,351,2,987.9,161,1,987.8,44,2,987.7,85,1,987.65,87,2,988.0,1145,1,988.15,355,2,988.2,222,1,988.25,680,4,988.3,968,4
1333,2025-11-17 09:15:19+05:30,987.75,25,990.68,318530,207726.0,469008.0,991.25,993.0,987.6,989.6,280256900,1088.55,890.65,1020.5,812.15,987.5,6,2,987.45,1,1,987.3,635,6,987.25,899,4,987.2,617,4,987.75,1,1,987.8,30,1,987.85,65,1,987.9,593,2,987.95,82,1
1333,2025-11-17 09:15:19+05:30,988.05,143,990.68,318530,207726.0,469008.0,991.25,993.0,987.6,989.6,280256900,1088.55,890.65,1020.5,812.15,987.5,6,2,987.45,1,1,987.3,635,6,987.25,899,4,987.2,617,4,987.75,1,1,987.8,30,1,987.85,65,1,987.9,593,2,987.95,82,1
1333,2025-11-17 09:15:20+05:30,987.65,550,990.65,323077,204107.0,473651.0,991.25,993.0,987.5,989.6,280256900,1088.55,890.65,1020.5,812.15,987.5,359,3,987.45,137,2,987.35,180,1,987.3,309,5,987.25,820,3,987.8,450,1,987.85,155,1,987.9,550,1,987.95,149,1,988.0,550,1
1333,2025-11-17 09:15:21+05:30,987.75,30,990.63,324758,209742.0,480683.0,991.25,993.0,987.5,989.6,280256900,1088.55,890.65,1020.5,812.15,987.55,814,1,987.5,350,2,987.45,1,1,987.4,9,1,987.35,180,1,987.75,370,1,987.8,242,2,987.85,90,2,987.9,840,4,987.95,840,5
1333,2025-11-17 09:15:21+05:30,987.75,115,990.63,324758,209742.0,480683.0,991.25,993.0,987.5,989.6,280256900,1088.55,890.65,1020.5,812.15,987.55,814,1,987.5,350,2,987.45,1,1,987.4,9,1,987.35,180,1,987.75,370,1,987.8,242,2,987.85,90,2,987.9,840,4,987.95,840,5
1333,2025-11-17 09:15:22+05:30,987.75,115,990.63,324963,214878.0,484550.0,991.25,993.0,987.5,989.6,280256900,1088.55,890.65,1020.5,812.15,987.55,2039,4,987.5,350,2,987.45,1,1,987.4,87,2,987.35,84,1,987.7,339,2,987.75,82,1,987.8,726,2,987.85,710,4,987.9,598,4
1333,2025-11-17 09:15:22+05:30,987.75,21,990.63,324963,214878.0,484550.0,991.25,993.0,987.5,989.6,280256900,1088.55,890.65,1020.5,812.15,987.55,2039,4,987.5,350,2,987.45,1,1,987.4,87,2,987.35,84,1,987.7,339,2,987.75,82,1,987.8,726,2,987.85,710,4,987.9,598,4
1333,2025-11-17 09:15:23+05:30,987.75,21,990.62,325317,235150.0,497519.0,991.25,993.0,987.5,989.6,280256900,1088.55,890.65,1020.5,812.15,987.55,2039,4,987.5,700,3,987.45,306,3,987.4,697,4,987.35,235,2,987.7,22,1,987.95,601,4,988.0,230,3,988.05,661,3,988.1,658,3
1333,2025-11-17 09:15:23+05:30,987.7,529,990.62,325317,235150.0,497519.0,991.25,993.0,987.5,989.6,280256900,1088.55,890.65,1020.5,812.15,987.55,2039,4,987.5,700,3,987.45,306,3,987.4,697,4,987.35,235,2,987.7,22,1,987.95,601,4,988.0,230,3,988.05,661,3,988.1,658,3
1333,2025-11-17 09:15:24+05:30,987.7,43,990.6,328116,236966.0,500183.0,991.25,993.0,987.5,989.6,280256900,1088.55,890.65,1020.5,812.15,987.7,460,1,987.55,2252,4,987.5,611,5,987.45,431,2,987.4,85,2,987.95,622,4,988.0,151,3,988.05,333,3,988.1,868,5,988.15,639,2
1333,2025-11-17 09:15:24+05:30,988.0,50,990.6,328116,236966.0,500183.0,991.25,993.0,987.5,989.6,280256900,1088.55,890.65,1020.5,812.15,987.7,460,1,987.55,2252,4,987.5,611,5,987.45,431,2,987.4,85,2,987.95,622,4,988.0,151,3,988.05,333,3,988.1,868,5,988.15,639,2
1333,2025-11-17 09:15:25+05:30,988.0,50,990.59,329016,237456.0,499501.0,991.25,993.0,987.5,989.6,280256900,1088.55,890.65,1020.5,812.15,987.7,484,2,987.65,14,2,987.55,2252,4,987.5,580,4,987.45,431,2,987.95,550,1,988.0,186,3,988.05,515,3,988.1,63,1,988.15,1517,6
1333,2025-11-17 09:15:25+05:30,987.7,2,990.59,329016,237456.0,499501.0,991.25,993.0,987.5,989.6,280256900,1088.55,890.65,1020.5,812.15,987.7,484,2,987.65,14,2,987.55,2252,4,987.5,580,4,987.45,431,2,987.95,550,1,988.0,186,3,988.05,515,3,988.1,63,1,988.15,1517,6
1333,2025-11-17 09:15:26+05:30,987.7,2,990.59,329019,238820.0,499324.0,991.25,993.0,987.5,989.6,280256900,1088.55,890.65,1020.5,812.15,987.7,746,3,987.65,24,3,987.6,103,1,987.55,2682,5,987.5,842,6,987.95,116,2,988.0,31,2,988.05,1426,5,988.1,355,2,988.15,1267,5
1333,2025-11-17 09:15:26+05:30,987.95,1,990.59,329019,238820.0,499324.0,991.25,993.0,987.5,989.6,280256900,1088.55,890.65,1020.5,812.15,987.7,746,3,987.65,24,3,987.6,103,1,987.55,2682,5,987.5,842,6,987.95,116,2,988.0,31,2,988.05,1426,5,988.1,355,2,988.15,1267,5
1333,2025-11-17 09:15:27+05:30,987.95,1,990.58,330120,238178.0,500309.0,991.25,993.0,987.5,989.6,280256900,1088.55,890.65,1020.5,812.15,987.7,1118,5,987.65,24,3,987.55,2330,5,987.5,496,3,987.45,1,1,987.95,1377,6,988.0,581,3,988.05,1448,6,988.1,355,2,988.15,709,5
1333,2025-11-17 09:15:27+05:30,987.55,550,990.58,330120,238178.0,500309.0,991.25,993.0,987.5,989.6,280256900,1088.55,890.65,1020.5,812.15,987.7,1118,5,987.65,24,3,987.55,2330,5,987.5,496,3,987.45,1,1,987.95,1377,6,988.0,581,3,988.05,1448,6,988.1,355,2,988.15,709,5
1333,2025-11-17 09:15:28+05:30,987.55,550,990.56,332881,236364.0,498960.0,991.25,993.0,987.5,989.6,280256900,1088.55,890.65,1020.5,812.15,987.55,1453,3,987.5,316,2,987.45,1,1,987.35,342,3,987.3,98,4,987.9,550,1,987.95,289,5,988.0,382,5,988.05,1599,6,988.1,355,2
1333,2025-11-17 09:15:29+05:30,987.75,294,990.55,333748,235742.0,503261.0,991.25,993.0,987.5,989.6,280256900,1088.55,890.65,1020.5,812.15,987.75,252,1,987.55,882,2,987.5,316,2,987.45,80,2,987.4,78,1,987.9,549,1,987.95,247,5,988.0,640,4,988.05,1940,7,988.1,355,2
1333,2025-11-17 09:15:29+05:30,987.75,252,990.55,333748,235742.0,503261.0,991.25,993.0,987.5,989.6,280256900,1088.55,890.65,1020.5,812.15,987.75,252,1,987.55,882,2,987.5,316,2,987.45,80,2,987.4,78,1,987.9,549,1,987.95,247,5,988.0,640,4,988.05,1940,7,988.1,355,2
1333,2025-11-17 09:15:30+05:30,987.75,252,990.55,334000,239634.0,500765.0,991.25,993.0,987.5,989.6,280256900,1088.55,890.65,1020.5,812.15,987.6,213,4,987.55,1253,5,987.5,509,4,987.45,421,4,987.4,467,3,987.85,550,1,987.9,550,1,987.95,257,5,988.0,131,4,988.05,1497,5
