token,exchange_timestamp,ltp,last_traded_quantity,avg_trade_price,volume,total_buy_qty,total_sell_qty,open,high,low,close,open_interest,upper_circuit,lower_circuit,52wk_high,52wk_low,buy_price_1,buy_qty_1,buy_orders_1,buy_price_2,buy_qty_2,buy_orders_2,buy_price_3,buy_qty_3,buy_orders_3,buy_price_4,buy_qty_4,buy_orders_4,buy_price_5,buy_qty_5,buy_orders_5,sell_price_1,sell_qty_1,sell_orders_1,sell_price_2,sell_qty_2,sell_orders_2,sell_price_3,sell_qty_3,sell_orders_3,sell_price_4,sell_qty_4,sell_orders_4,sell_price_5,sell_qty_5,sell_orders_5
4963,2025-11-11 09:15:07+05:30,1349.8,44,1348.56,88013,122696.0,233971.0,1349.0,1349.9,1346.2,1348.0,207927300,1482.8,1213.2,1500.0,1186.0,1349.5,352,2,1348.8,845,4,1348.7,700,3,1348.6,274,3,1348.5,649,3,1349.8,70,2,1349.9,220,1,1350.0,2503,12,1350.1,18,1,1350.2,55,2
4963,2025-11-11 09:15:08+05:30,1349.7,165,1348.65,94812,126603.0,242755.0,1349.0,1350.0,1346.2,1348.0,207927300,1482.8,1213.2,1500.0,1186.0,1349.7,522,3,1349.6,370,1,1349.5,919,4,1349.1,26,1,1349.0,369,5,1350.2,34,1,1350.5,10,1,1350.7,77,1,1350.8,244,2,1350.9,276,3
4963,2025-11-11 09:15:08+05:30,1350.2,1,1348.65,94812,126603.0,242755.0,1349.0,1350.0,1346.2,1348.0,207927300,1482.8,1213.2,1500.0,1186.0,1349.7,522,3,1349.6,370,1,1349.5,919,4,1349.1,26,1,1349.0,369,5,1350.2,34,1,1350.5,10,1,1350.7,77,1,1350.8,244,2,1350.9,276,3
4963,2025-11-11 09:15:09+05:30,1350.7,98,1348.72,98711,130360.0,249007.0,1349.0,1350.8,1346.2,1348.0,207927300,1482.8,1213.2,1500.0,1186.0,1349.9,457,3,1349.8,725,6,1349.7,526,4,1349.6,396,2,1349.5,485,2,1350.8,347,1,1350.9,201,2,1351.0,15,5,1351.1,96,1,1351.3,125,2
4963,2025-11-11 09:15:10+05:30,1350.0,257,1348.72,98711,130360.0,249007.0,1349.0,1350.8,1346.2,1348.0,207927300,1482.8,1213.2,1500.0,1186.0,1349.9,457,3,1349.8,725,6,1349.7,526,4,1349.6,396,2,1349.5,485,2,1350.8,347,1,1350.9,201,2,1351.0,15,5,1351.1,96,1,1351.3,125,2
4963,2025-11-11 09:15:10+05:30,1350.0,257,1348.82,104699,129277.0,254736.0,1349.0,1351.0,1346.2,1348.0,207927300,1482.8,1213.2,1500.0,1186.0,1349.9,501,2,1349.8,171,1,1349.7,735,10,1349.6,9,2,1349.5,376,2,1350.7,431,3,1350.8,475,4,1350.9,741,2,1351.0,466,1,1351.1,41,1
4963,2025-11-11 09:15:11+05:30,1350.2,5,1348.85,107063,133843.0,261120.0,1349.0,1351.0,1346.2,1348.0,207927300,1482.8,1213.2,1500.0,1186.0,1350.2,848,10,1350.1,593,1,1350.0,7,2,1349.9,59,2,1349.8,1,1,1350.7,85,1,1350.8,1392,6,1350.9,1050,3,1351.0,1021,2,1351.1,980,3
4963,2025-11-11 09:15:12+05:30,1350.5,112,1348.85,107063,133843.0,261120.0,1349.0,1351.0,1346.2,1348.0,207927300,1482.8,1213.2,1500.0,1186.0,1350.2,848,10,1350.1,593,1,1350.0,7,2,1349.9,59,2,1349.8,1,1,1350.7,85,1,1350.8,1392,6,1350.9,1050,3,1351.0,1021,2,1351.1,980,3
4963,2025-11-11 09:15:12+05:30,1350.5,112,1348.95,114639,134716.0,262342.0,1349.0,1351.0,1346.2,1348.0,207927300,1482.8,1213.2,1500.0,1186.0,1349.9,102,4,1349.8,6,2,1349.7,380,8,1349.6,259,4,1349.5,472,3,1350.6,8,1,1350.7,1091,5,1350.8,334,6,1350.9,385,2,1351.0,824,3
4963,2025-11-11 09:15:13+05:30,1350.7,64,1348.98,117212,135875.0,264640.0,1349.0,1351.0,1346.2,1348.0,207927300,1482.8,1213.2,1500.0,1186.0,1350.3,601,3,1350.0,5,1,1349.9,156,2,1349.8,471,3,1349.7,518,8,1350.7,32,1,1350.8,214,4,1351.0,722,2,1351.1,1644,3,1351.2,52,1
