token,exchange_timestamp,ltp,last_traded_quantity,avg_trade_price,volume,total_buy_qty,total_sell_qty,open,high,low,close,open_interest,upper_circuit,lower_circuit,52wk_high,52wk_low,buy_price_1,buy_qty_1,buy_orders_1,buy_price_2,buy_qty_2,buy_orders_2,buy_price_3,buy_qty_3,buy_orders_3,buy_price_4,buy_qty_4,buy_orders_4,buy_price_5,buy_qty_5,buy_orders_5,sell_price_1,sell_qty_1,sell_orders_1,sell_price_2,sell_qty_2,sell_orders_2,sell_price_3,sell_qty_3,sell_orders_3,sell_price_4,sell_qty_4,sell_orders_4,sell_price_5,sell_qty_5,sell_orders_5
11536,2025-12-17 09:15:07+05:30,3205.6,139,3201.54,19431,21091.0,50065.0,3200.5,3214.9,3200.5,3205.1,25571525,3525.6,2884.6,4475.0,2866.6,3212.2,28,1,3212.1,87,3,3211.3,93,1,3211.2,2,1,3209.7,5,1,3214.8,6,1,3214.9,93,2,3215.0,105,2,3215.1,1,1,3217.9,49,1
11536,2025-12-17 09:15:10+05:30,3202.9,18,3204.1,27230,35981.0,73104.0,3200.5,3219.2,3200.5,3205.1,25571525,3525.6,2884.6,4475.0,2866.6,3202.1,15,1,3201.4,64,2,3201.3,221,2,3201.0,109,3,3200.6,160,4,3203.7,4,1,3203.8,7,1,3205.1,46,1,3205.2,26,1,3205.4,257,2
11536,2025-12-17 09:15:13+05:30,3203.7,10,3204.1,27230,35981.0,73104.0,3200.5,3219.2,3200.5,3205.1,25571525,3525.6,2884.6,4475.0,2866.6,3202.1,15,1,3201.4,64,2,3201.3,221,2,3201.0,109,3,3200.6,160,4,3203.7,4,1,3203.8,7,1,3205.1,46,1,3205.2,26,1,3205.4,257,2
11536,2025-12-17 09:15:18+05:30,3204.9,1,3204.1,31177,46445.0,79657.0,3200.5,3219.2,3200.5,3205.1,25571525,3525.6,2884.6,4475.0,2866.6,3204.9,1,1,3204.2,22,1,3204.1,196,2,3204.0,193,4,3203.9,5,1,3206.5,19,2,3206.6,108,1,3206.7,25,4,3206.8,29,4,3206.9,38,4
11536,2025-12-17 09:15:18+05:30,3208.7,1,3204.1,31177,46445.0,79657.0,3200.5,3219.2,3200.5,3205.1,25571525,3525.6,2884.6,4475.0,2866.6,3204.9,1,1,3204.2,22,1,3204.1,196,2,3204.0,193,4,3203.9,5,1,3206.5,19,2,3206.6,108,1,3206.7,25,4,3206.8,29,4,3206.9,38,4
11536,2025-12-17 09:15:23+05:30,3206.2,18,3204.1,31177,46445.0,79657.0,3200.5,3219.2,3200.5,3205.1,25571525,3525.6,2884.6,4475.0,2866.6,3204.9,1,1,3204.2,22,1,3204.1,196,2,3204.0,193,4,3203.9,5,1,3206.5,19,2,3206.6,108,1,3206.7,25,4,3206.8,29,4,3206.9,38,4
11536,2025-12-17 09:15:24+05:30,3208.4,7,3204.29,33397,54906.0,84106.0,3200.5,3219.2,3200.5,3205.1,25571525,3525.6,2884.6,4475.0,2866.6,3206.1,14,1,3205.9,17,1,3205.8,27,2,3205.7,31,1,3205.6,291,2,3208.4,56,3,3208.5,15,1,3208.6,74,5,3208.7,161,5,3208.8,105,4
11536,2025-12-17 09:15:28+05:30,3210.0,1,3204.29,33397,54906.0,84106.0,3200.5,3219.2,3200.5,3205.1,25571525,3525.6,2884.6,4475.0,2866.6,3206.1,14,1,3205.9,17,1,3205.8,27,2,3205.7,31,1,3205.6,291,2,3208.4,56,3,3208.5,15,1,3208.6,74,5,3208.7,161,5,3208.8,105,4
11536,2025-12-17 09:15:30+05:30,3213.2,3,3204.71,37288,66157.0,76023.0,3200.5,3219.2,3200.5,3205.1,25571525,3525.6,2884.6,4475.0,2866.6,3210.1,47,1,3210.0,25,2,3209.9,19,1,3209.8,72,2,3209.7,59,2,3212.8,33,5,3212.9,117,6,3213.0,62,4,3213.2,25,4,3213.3,17,3
11536,2025-12-17 09:15:33+05:30,3211.3,57,3204.71,37288,66157.0,76023.0,3200.5,3219.2,3200.5,3205.1,25571525,3525.6,2884.6,4475.0,2866.6,3210.1,47,1,3210.0,25,2,3209.9,19,1,3209.8,72,2,3209.7,59,2,3212.8,33,5,3212.9,117,6,3213.0,62,4,3213.2,25,4,3213.3,17,3
11536,2025-12-17 09:15:37+05:30,3211.5,37,3205.47,41326,69710.0,79846.0,3200.5,3219.2,3200.5,3205.1,25571525,3525.6,2884.6,4475.0,2866.6,3211.5,8,1,3211.4,33,1,3211.3,1,1,3211.2,149,1,3211.1,891,2,3213.9,130,3,3214.0,87,7,3214.1,89,2,3214.2,93,2,3214.3,53,2
11536,2025-12-17 09:15:38+05:30,3212.9,90,3205.47,41326,69710.0,79846.0,3200.5,3219.2,3200.5,3205.1,25571525,3525.6,2884.6,4475.0,2866.6,3211.5,8,1,3211.4,33,1,3211.3,1,1,3211.2,149,1,3211.1,891,2,3213.9,130,3,3214.0,87,7,3214.1,89,2,3214.2,93,2,3214.3,53,2
11536,2025-12-17 09:15:43+05:30,3214.2,5,3206.7,49210,74069.0,84720.0,3200.5,3219.2,3200.5,3205.1,25571525,3525.6,2884.6,4475.0,2866.6,3212.0,1,1,3211.9,2,1,3211.8,4,1,3211.7,162,1,3211.6,166,5,3214.1,83,3,3214.2,73,5,3214.3,40,2,3214.4,13,1,3214.6,98,2
11536,2025-12-17 09:15:43+05:30,3213.9,82,3206.7,49210,74069.0,84720.0,3200.5,3219.2,3200.5,3205.1,25571525,3525.6,2884.6,4475.0,2866.6,3212.0,1,1,3211.9,2,1,3211.8,4,1,3211.7,162,1,3211.6,166,5,3214.1,83,3,3214.2,73,5,3214.3,40,2,3214.4,13,1,3214.6,98,2
11536,2025-12-17 09:15:48+05:30,3215.0,70,3206.7,49210,74069.0,84720.0,3200.5,3219.2,3200.5,3205.1,25571525,3525.6,2884.6,4475.0,2866.6,3212.0,1,1,3211.9,2,1,3211.8,4,1,3211.7,162,1,3211.6,166,5,3214.1,83,3,3214.2,73,5,3214.3,40,2,3214.4,13,1,3214.6,98,2
11536,2025-12-17 09:15:49+05:30,3215.0,70,3207.19,52911,75007.0,83508.0,3200.5,3219.2,3200.5,3205.1,25571525,3525.6,2884.6,4475.0,2866.6,3213.4,100,3,3213.2,23,2,3213.1,227,3,3213.0,6,1,3212.9,35,3,3215.1,54,1,3215.5,5,2,3215.8,2,1,3215.9,62,1,3216.0,159,3
11536,2025-12-17 09:15:53+05:30,3213.0,56,3207.19,52911,75007.0,83508.0,3200.5,3219.2,3200.5,3205.1,25571525,3525.6,2884.6,4475.0,2866.6,3213.4,100,3,3213.2,23,2,3213.1,227,3,3213.0,6,1,3212.9,35,3,3215.1,54,1,3215.5,5,2,3215.8,2,1,3215.9,62,1,3216.0,159,3
11536,2025-12-17 09:15:55+05:30,3213.1,7,3207.78,57359,74446.0,88170.0,3200.5,3219.2,3200.5,3205.1,25571525,3525.6,2884.6,4475.0,2866.6,3212.8,39,3,3212.7,153,2,3212.6,63,2,3212.5,23,1,3212.4,113,3,3215.0,1,1,3215.3,24,1,3215.4,26,2,3215.5,23,1,3215.6,13,1
11536,2025-12-17 09:15:57+05:30,3215.0,4,3208.1,60681,75096.0,87819.0,3200.5,3219.2,3200.5,3205.1,25571525,3525.6,2884.6,4475.0,2866.6,3213.5,2,1,3213.4,7,1,3213.3,13,3,3213.1,7,1,3213.0,217,2,3215.0,3,2,3215.2,57,1,3215.3,2,1,3215.4,32,1,3215.5,44,2
11536,2025-12-17 09:15:57+05:30,3215.0,4,3208.1,60681,75096.0,87819.0,3200.5,3219.2,3200.5,3205.1,25571525,3525.6,2884.6,4475.0,2866.6,3213.5,2,1,3213.4,7,1,3213.3,13,3,3213.1,7,1,3213.0,217,2,3215.0,3,2,3215.2,57,1,3215.3,2,1,3215.4,32,1,3215.5,44,2
11536,2025-12-17 09:15:58+05:30,3215.5,3,3208.26,62096,75885.0,87324.0,3200.5,3219.2,3200.5,3205.1,25571525,3525.6,2884.6,4475.0,2866.6,3213.3,20,2,3213.2,66,2,3213.1,84,3,3213.0,3,1,3212.8,95,5,3215.2,19,2,3215.4,57,1,3215.5,29,1,3215.6,3,2,3215.7,19,1
11536,2025-12-17 09:15:58+05:30,3213.4,5,3208.26,62096,75885.0,87324.0,3200.5,3219.2,3200.5,3205.1,25571525,3525.6,2884.6,4475.0,2866.6,3213.3,20,2,3213.2,66,2,3213.1,84,3,3213.0,3,1,3212.8,95,5,3215.2,19,2,3215.4,57,1,3215.5,29,1,3215.6,3,2,3215.7,19,1
11536,2025-12-17 09:15:59+05:30,3216.5,50,3208.53,64389,77551.0,85856.0,3200.5,3219.2,3200.5,3205.1,25571525,3525.6,2884.6,4475.0,2866.6,3214.5,433,6,3214.4,71,3,3214.3,75,2,3214.2,84,4,3214.1,244,3,3216.5,3,1,3217.0,51,2,3217.1,172,4,3217.2,118,4,3217.3,60,4
11536,2025-12-17 09:15:59+05:30,3217.2,33,3208.53,64389,77551.0,85856.0,3200.5,3219.2,3200.5,3205.1,25571525,3525.6,2884.6,4475.0,2866.6,3214.5,433,6,3214.4,71,3,3214.3,75,2,3214.2,84,4,3214.1,244,3,3216.5,3,1,3217.0,51,2,3217.1,172,4,3217.2,118,4,3217.3,60,4
11536,2025-12-17 09:16:00+05:30,3215.2,2,3208.61,65067,77735.0,86527.0,3200.5,3219.2,3200.5,3205.1,25571525,3525.6,2884.6,4475.0,2866.6,3215.2,22,1,3215.0,10,1,3214.7,27,1,3214.5,62,1,3214.4,166,1,3216.3,1,1,3216.4,13,1,3216.5,32,3,3216.6,78,3,3216.7,60,3
11536,2025-12-17 09:16:00+05:30,3216.7,9,3208.61,65067,77735.0,86527.0,3200.5,3219.2,3200.5,3205.1,25571525,3525.6,2884.6,4475.0,2866.6,3215.2,22,1,3215.0,10,1,3214.7,27,1,3214.5,62,1,3214.4,166,1,3216.3,1,1,3216.4,13,1,3216.5,32,3,3216.6,78,3,3216.7,60,3
