token,exchange_timestamp,ltp,last_traded_quantity,avg_trade_price,volume,total_buy_qty,total_sell_qty,open,high,low,close,open_interest,upper_circuit,lower_circuit,52wk_high,52wk_low,buy_price_1,buy_qty_1,buy_orders_1,buy_price_2,buy_qty_2,buy_orders_2,buy_price_3,buy_qty_3,buy_orders_3,buy_price_4,buy_qty_4,buy_orders_4,buy_price_5,buy_qty_5,buy_orders_5,sell_price_1,sell_qty_1,sell_orders_1,sell_price_2,sell_qty_2,sell_orders_2,sell_price_3,sell_qty_3,sell_orders_3,sell_price_4,sell_qty_4,sell_orders_4,sell_price_5,sell_qty_5,sell_orders_5
13538,2025-12-03 09:15:05+05:30,1540.2,7,1536.84,14860,28171.0,47284.0,1537.9,1542.5,1530.3,1536.7,22119000,1690.3,1383.1,1807.7,1209.4,1539.6,32,1,1539.5,2004,1,1539.4,100,1,1539.1,48,1,1538.6,57,2,1542.5,1079,1,1542.6,18,1,1542.8,37,2,1543.0,39,1,1543.1,119,1
13538,2025-12-03 09:15:13+05:30,1536.7,1,1536.84,14860,28171.0,47284.0,1537.9,1542.5,1530.3,1536.7,22119000,1690.3,1383.1,1807.7,1209.4,1539.6,32,1,1539.5,2004,1,1539.4,100,1,1539.1,48,1,1538.6,57,2,1542.5,1079,1,1542.6,18,1,1542.8,37,2,1543.0,39,1,1543.1,119,1
13538,2025-12-03 09:15:20+05:30,1536.2,50,1536.87,15995,58162.0,84574.0,1537.9,1542.5,1530.3,1536.7,22119000,1690.3,1383.1,1807.7,1209.4,1535.1,52,1,1535.0,40,3,1534.9,361,3,1534.8,135,3,1534.7,29,1,1536.1,36,1,1536.2,36,1,1536.3,111,3,1536.4,412,2,1536.5,72,2
13538,2025-12-03 09:15:22+05:30,1534.3,35,1536.87,15995,58162.0,84574.0,1537.9,1542.5,1530.3,1536.7,22119000,1690.3,1383.1,1807.7,1209.4,1535.1,52,1,1535.0,40,3,1534.9,361,3,1534.8,135,3,1534.7,29,1,1536.1,36,1,1536.2,36,1,1536.3,111,3,1536.4,412,2,1536.5,72,2
13538,2025-12-03 09:15:30+05:30,1532.8,16,1536.66,17303,61735.0,96067.0,1537.9,1542.5,1530.3,1536.7,22119000,1690.3,1383.1,1807.7,1209.4,1531.1,421,4,1531.0,103,1,1530.9,164,3,1530.8,90,1,1530.7,42,2,1532.3,36,1,1532.4,88,3,1532.5,36,1,1532.6,96,4,1532.7,138,3
13538,2025-12-03 09:15:30+05:30,1532.8,16,1536.66,17303,61735.0,96067.0,1537.9,1542.5,1530.3,1536.7,22119000,1690.3,1383.1,1807.7,1209.4,1531.1,421,4,1531.0,103,1,1530.9,164,3,1530.8,90,1,1530.7,42,2,1532.3,36,1,1532.4,88,3,1532.5,36,1,1532.6,96,4,1532.7,138,3
13538,2025-12-03 09:15:36+05:30,1532.0,53,1536.45,18115,66313.0,101297.0,1537.9,1542.5,1530.3,1536.7,22119000,1690.3,1383.1,1807.7,1209.4,1531.3,296,3,1531.2,115,4,1531.1,52,3,1530.9,44,1,1530.8,24,2,1532.3,107,3,1532.4,162,5,1532.5,188,4,1532.6,168,6,1532.7,176,5
13538,2025-12-03 09:15:36+05:30,1531.2,10,1536.45,18115,66313.0,101297.0,1537.9,1542.5,1530.3,1536.7,22119000,1690.3,1383.1,1807.7,1209.4,1531.3,296,3,1531.2,115,4,1531.1,52,3,1530.9,44,1,1530.8,24,2,1532.3,107,3,1532.4,162,5,1532.5,188,4,1532.6,168,6,1532.7,176,5
13538,2025-12-03 09:15:37+05:30,1531.6,2,1536.45,18127,66058.0,101946.0,1537.9,1542.5,1530.3,1536.7,22119000,1690.3,1383.1,1807.7,1209.4,1530.6,93,2,1530.5,66,3,1530.4,321,3,1530.3,122,2,1530.2,67,3,1531.7,80,2,1531.8,96,3,1531.9,379,3,1532.0,128,4,1532.1,99,2
13538,2025-12-03 09:15:38+05:30,1531.6,2,1536.45,18127,66600.0,101940.0,1537.9,1542.5,1530.3,1536.7,22119000,1690.3,1383.1,1807.7,1209.4,1530.8,65,2,1530.7,68,2,1530.6,42,2,1530.5,401,4,1530.4,97,3,1531.7,112,3,1531.9,103,1,1532.0,439,4,1532.1,49,2,1532.2,173,6
13538,2025-12-03 09:15:38+05:30,1531.7,2,1536.45,18127,66600.0,101940.0,1537.9,1542.5,1530.3,1536.7,22119000,1690.3,1383.1,1807.7,1209.4,1530.8,65,2,1530.7,68,2,1530.6,42,2,1530.5,401,4,1530.4,97,3,1531.7,112,3,1531.9,103,1,1532.0,439,4,1532.1,49,2,1532.2,173,6
13538,2025-12-03 09:15:39+05:30,1531.7,2,1536.45,18133,66785.0,102277.0,1537.9,1542.5,1530.3,1536.7,22119000,1690.3,1383.1,1807.7,1209.4,1530.9,98,3,1530.8,295,1,1530.7,120,5,1530.6,21,1,1530.5,56,4,1531.7,68,2,1531.9,103,1,1532.0,64,2,1532.1,106,3,1532.2,94,5
13538,2025-12-03 09:15:40+05:30,1531.7,2,1536.45,18133,65552.0,102572.0,1537.9,1542.5,1530.3,1536.7,22119000,1690.3,1383.1,1807.7,1209.4,1530.6,67,2,1530.5,450,3,1530.4,36,1,1530.3,143,3,1530.2,10,1,1531.6,135,3,1531.7,211,7,1531.8,77,2,1531.9,103,1,1532.0,180,6
13538,2025-12-03 09:15:41+05:30,1531.6,10,1536.44,18143,67102.0,102880.0,1537.9,1542.5,1530.3,1536.7,22119000,1690.3,1383.1,1807.7,1209.4,1530.7,50,1,1530.5,399,3,1530.4,102,3,1530.2,15,1,1530.1,79,3,1531.6,62,2,1531.7,114,4,1531.8,121,3,1531.9,156,2,1532.0,167,5
13538,2025-12-03 09:15:42+05:30,1531.6,10,1536.44,18143,65832.0,102947.0,1537.9,1542.5,1530.3,1536.7,22119000,1690.3,1383.1,1807.7,1209.4,1530.7,108,2,1530.6,44,1,1530.5,367,3,1530.4,69,3,1530.2,57,2,1531.6,59,1,1531.7,68,2,1531.8,44,1,1531.9,138,3,1532.0,166,4
