token,exchange_timestamp,ltp,last_traded_quantity,avg_trade_price,volume,total_buy_qty,total_sell_qty,open,high,low,close,open_interest,upper_circuit,lower_circuit,52wk_high,52wk_low,buy_price_1,buy_qty_1,buy_orders_1,buy_price_2,buy_qty_2,buy_orders_2,buy_price_3,buy_qty_3,buy_orders_3,buy_price_4,buy_qty_4,buy_orders_4,buy_price_5,buy_qty_5,buy_orders_5,sell_price_1,sell_qty_1,sell_orders_1,sell_price_2,sell_qty_2,sell_orders_2,sell_price_3,sell_qty_3,sell_orders_3,sell_price_4,sell_qty_4,sell_orders_4,sell_price_5,sell_qty_5,sell_orders_5
3787,2025-12-16 09:15:09+05:30,261.38,57,261.59,27133,207257.0,482627.0,261.74,261.75,261.03,261.74,82152000,287.91,235.57,324.6,228.0,261.1,178,1,261.09,773,1,261.01,2173,1,261.0,6997,17,260.96,72,1,261.38,94,1,261.4,382,1,261.41,43,1,261.43,64,1,261.45,234,1
3787,2025-12-16 09:15:10+05:30,261.1,3,261.59,27136,209315.0,486861.0,261.74,261.75,261.03,261.74,82152000,287.91,235.57,324.6,228.0,261.1,316,2,261.05,1798,2,261.04,400,1,261.03,126,1,261.02,400,1,261.38,2227,4,261.39,106,1,261.41,127,2,261.45,298,2,261.47,195,2
3787,2025-12-16 09:15:11+05:30,261.11,8,261.59,27136,209315.0,486861.0,261.74,261.75,261.03,261.74,82152000,287.91,235.57,324.6,228.0,261.1,316,2,261.05,1798,2,261.04,400,1,261.03,126,1,261.02,400,1,261.38,2227,4,261.39,106,1,261.41,127,2,261.45,298,2,261.47,195,2
3787,2025-12-16 09:15:11+05:30,261.37,10,261.58,27356,212424.0,485808.0,261.74,261.75,261.03,261.74,82152000,287.91,235.57,324.6,228.0,261.11,568,2,261.1,175,1,261.05,1798,2,261.03,1749,2,261.0,7548,19,261.37,150,3,261.39,59,1,261.4,382,1,261.41,127,2,261.45,444,2
3787,2025-12-16 09:15:12+05:30,261.11,57,261.58,27683,214782.0,485660.0,261.74,261.75,261.03,261.74,82152000,287.91,235.57,324.6,228.0,261.11,787,3,261.1,2186,2,261.09,877,1,261.05,283,2,261.03,1749,2,261.41,65,2,261.44,390,1,261.45,283,2,261.46,54,1,261.47,195,2
3787,2025-12-16 09:15:13+05:30,261.41,85,261.58,27683,214782.0,485660.0,261.74,261.75,261.03,261.74,82152000,287.91,235.57,324.6,228.0,261.11,787,3,261.1,2186,2,261.09,877,1,261.05,283,2,261.03,1749,2,261.41,65,2,261.44,390,1,261.45,283,2,261.46,54,1,261.47,195,2
3787,2025-12-16 09:15:13+05:30,261.11,2,261.58,28105,216957.0,488443.0,261.74,261.75,261.03,261.74,82152000,287.91,235.57,324.6,228.0,261.11,2482,5,261.1,175,1,261.09,400,1,261.07,400,1,261.05,210,1,261.39,64,1,261.41,311,1,261.42,212,1,261.43,382,1,261.44,43,1
3787,2025-12-16 09:15:14+05:30,261.11,2,261.58,28105,217029.0,491469.0,261.74,261.75,261.03,261.74,82152000,287.91,235.57,324.6,228.0,261.11,1020,4,261.1,175,1,261.06,2091,1,261.05,210,1,261.03,1741,2,261.34,338,4,261.37,382,1,261.38,1,1,261.39,182,3,261.41,2122,1
3787,2025-12-16 09:15:15+05:30,261.34,78,261.58,28105,217029.0,491469.0,261.74,261.75,261.03,261.74,82152000,287.91,235.57,324.6,228.0,261.11,1020,4,261.1,175,1,261.06,2091,1,261.05,210,1,261.03,1741,2,261.34,338,4,261.37,382,1,261.38,1,1,261.39,182,3,261.41,2122,1
3787,2025-12-16 09:15:15+05:30,261.34,3,261.58,28362,219966.0,489416.0,261.74,261.75,261.03,261.74,82152000,287.91,235.57,324.6,228.0,261.11,1113,4,261.1,175,1,261.08,240,3,261.06,2091,1,261.05,308,2,261.34,1,1,261.35,154,1,261.37,177,2,261.38,382,1,261.39,64,1
3787,2025-12-16 09:15:16+05:30,261.4,170,261.58,28562,240958.0,501588.0,261.74,261.75,261.03,261.74,82152000,287.91,235.57,324.6,228.0,261.15,707,2,261.13,213,2,261.12,1859,1,261.11,277,2,261.1,1783,2,261.43,480,5,261.44,2047,3,261.45,323,2,261.47,230,2,261.48,21,2
3787,2025-12-16 09:15:17+05:30,261.41,5,261.58,28562,240958.0,501588.0,261.74,261.75,261.03,261.74,82152000,287.91,235.57,324.6,228.0,261.15,707,2,261.13,213,2,261.12,1859,1,261.11,277,2,261.1,1783,2,261.43,480,5,261.44,2047,3,261.45,323,2,261.47,230,2,261.48,21,2
3787,2025-12-16 09:15:17+05:30,261.41,46,261.57,28848,256146.0,503915.0,261.74,261.75,261.03,261.74,82152000,287.91,235.57,324.6,228.0,261.22,342,1,261.21,2275,2,261.2,400,1,261.18,1427,3,261.17,473,2,261.43,42,2,261.44,370,4,261.45,15,1,261.46,44,1,261.47,104,1
3787,2025-12-16 09:15:18+05:30,261.27,110,261.57,28977,253145.0,507378.0,261.74,261.75,261.03,261.74,82152000,287.91,235.57,324.6,228.0,261.27,218,1,261.2,400,1,261.17,342,1,261.16,212,1,261.14,462,2,261.41,382,1,261.42,57,3,261.43,86,1,261.44,390,3,261.45,157,2
3787,2025-12-16 09:15:19+05:30,261.27,110,261.57,28977,253145.0,507378.0,261.74,261.75,261.03,261.74,82152000,287.91,235.57,324.6,228.0,261.27,218,1,261.2,400,1,261.17,342,1,261.16,212,1,261.14,462,2,261.41,382,1,261.42,57,3,261.43,86,1,261.44,390,3,261.45,157,2
3787,2025-12-16 09:15:19+05:30,261.27,110,261.57,28977,257123.0,504177.0,261.74,261.75,261.03,261.74,82152000,287.91,235.57,324.6,228.0,261.27,218,1,261.22,1711,2,261.21,400,1,261.2,212,1,261.19,1603,1,261.41,269,4,261.42,24,1,261.43,130,2,261.44,390,3,261.45,157,2
3787,2025-12-16 09:15:21+05:30,261.17,10,261.56,30346,261433.0,507568.0,261.74,261.75,261.03,261.74,82152000,287.91,235.57,324.6,228.0,261.17,372,1,261.16,1,1,261.15,2245,3,261.14,462,2,261.13,316,1,261.45,1963,5,261.46,405,2,261.47,24,2,261.48,110,1,261.49,1923,4
3787,2025-12-16 09:15:21+05:30,261.17,10,261.56,30346,261433.0,507568.0,261.74,261.75,261.03,261.74,82152000,287.91,235.57,324.6,228.0,261.17,372,1,261.16,1,1,261.15,2245,3,261.14,462,2,261.13,316,1,261.45,1963,5,261.46,405,2,261.47,24,2,261.48,110,1,261.49,1923,4
3787,2025-12-16 09:15:22+05:30,261.18,5,261.56,30371,271128.0,528113.0,261.74,261.75,261.03,261.74,82152000,287.91,235.57,324.6,228.0,261.19,216,4,261.18,400,1,261.17,405,2,261.16,192,1,261.14,126,1,261.38,80,3,261.39,130,3,261.4,378,2,261.41,111,1,261.42,95,1
3787,2025-12-16 09:15:23+05:30,261.39,4,261.56,30371,271128.0,528113.0,261.74,261.75,261.03,261.74,82152000,287.91,235.57,324.6,228.0,261.19,216,4,261.18,400,1,261.17,405,2,261.16,192,1,261.14,126,1,261.38,80,3,261.39,130,3,261.4,378,2,261.41,111,1,261.42,95,1
3787,2025-12-16 09:15:23+05:30,261.39,4,261.56,30375,272035.0,528811.0,261.74,261.75,261.03,261.74,82152000,287.91,235.57,324.6,228.0,261.27,1,1,261.22,2571,3,261.21,269,3,261.2,385,1,261.19,24,1,261.39,118,3,261.4,1,1,261.41,129,2,261.42,95,1,261.44,374,3
3787,2025-12-16 09:15:24+05:30,261.27,1,261.56,30379,266545.0,532736.0,261.74,261.75,261.03,261.74,82152000,287.91,235.57,324.6,228.0,261.12,488,3,261.11,1544,1,261.1,212,1,261.09,486,1,261.07,285,2,261.34,406,5,261.35,45,2,261.36,326,1,261.37,1837,3,261.38,348,1
3787,2025-12-16 09:15:25+05:30,261.12,10,261.56,30379,266545.0,532736.0,261.74,261.75,261.03,261.74,82152000,287.91,235.57,324.6,228.0,261.12,488,3,261.11,1544,1,261.1,212,1,261.09,486,1,261.07,285,2,261.34,406,5,261.35,45,2,261.36,326,1,261.37,1837,3,261.38,348,1
3787,2025-12-16 09:15:25+05:30,261.12,10,261.56,30389,258751.0,539310.0,261.74,261.75,261.03,261.74,82152000,287.91,235.57,324.6,228.0,261.08,405,2,261.07,54,1,261.06,192,1,261.04,40,1,261.03,126,1,261.28,273,4,261.29,820,4,261.3,95,1,261.31,326,1,261.32,150,5
3787,2025-12-16 09:15:26+05:30,260.82,7,261.46,36695,242597.0,559444.0,261.74,261.75,260.82,261.74,82152000,287.91,235.57,324.6,228.0,260.82,240,2,260.81,203,3,260.8,300,1,260.79,20,1,260.78,75,1,260.98,37,2,261.0,210,2,261.01,267,2,261.02,382,1,261.03,1,1
3787,2025-12-16 09:15:27+05:30,261.0,63,261.46,36695,242597.0,559444.0,261.74,261.75,260.82,261.74,82152000,287.91,235.57,324.6,228.0,260.82,240,2,260.81,203,3,260.8,300,1,260.79,20,1,260.78,75,1,260.98,37,2,261.0,210,2,261.01,267,2,261.02,382,1,261.03,1,1
3787,2025-12-16 09:15:27+05:30,261.0,20,261.46,36949,249892.0,563359.0,261.74,261.75,260.82,261.74,82152000,287.91,235.57,324.6,228.0,260.83,216,2,260.82,75,1,260.81,182,2,260.8,301,2,260.79,72,2,261.0,1012,3,261.01,24,1,261.03,79,1,261.04,357,2,261.05,382,1
3787,2025-12-16 09:15:28+05:30,261.0,20,261.46,36949,249892.0,563359.0,261.74,261.75,260.82,261.74,82152000,287.91,235.57,324.6,228.0,260.83,216,2,260.82,75,1,260.81,182,2,260.8,301,2,260.79,72,2,261.0,1012,3,261.01,24,1,261.03,79,1,261.04,357,2,261.05,382,1
